Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0.00952721,8.437,0,322.85
2,0.0022316,3.288,0,323.32
3,0.00249672,12.927,0,323.85
4,0.00564098,22.715,0,328.20
5,0.00679493,29.899,0,330.44
6,0.00343704,34.741,0,332.22
7,0.00676918,30.718,0,334.58
8,0.00243759,26.705,0,336.09
9,0,25.939,0,338.43
10,0.00258541,23.732,0,339.41
11,0.00245857,26.102,0,340.31
12,0.00601387,23.557,0,342.01
13,0.000680923,25.501,0,343.85
14,0.00349331,24.141,0,345.35
15,0.0034256,22.470,0,347.21
16,0.00126457,21.709,0,347.12
17,0.00205994,23.228,0,348.25
18,0.00518799,14.924,0,350.42
19,0.000619888,23.532,0,352.21
20,0.00100327,19.609,0,353.94
21,0.00532722,24.974,0,355.23
22,0.000547409,15.524,0,355.39
23,0.000892639,22.716,0,358.22
24,0.00580597,21.098,0,360.08
25,0.00112534,20.369,0,361.09
26,0.0057354,27.309,0,362.02
27,0.000944138,20.933,0,363.33
28,0.00255013,22.823,0,365.10
29,0.00520134,21.081,0,367.65
30,0.000953674,25.860,0,369.35
31,0.00181484,20.074,0,370.54
32,0.00121975,22.133,0,371.21
33,0.00542736,25.591,0,373.68
34,0.00261497,18.241,0,374.15
35,0.00486565,18.296,0,375.66
36,0.000802994,21.999,0,376.94
37,0.00581837,25.855,0,378.73
38,0.00138569,18.437,0,380.46
39,0.00113583,20.135,0,382.17
40,0.00549603,21.827,0,383.57
41,0.00259304,24.127,0,385.03
42,0.00184155,24.747,0,386.33
43,0.00686741,21.519,0,387.14
44,0.00409794,20.658,0,388.79
45,0.00199699,22.449,0,390.45
46,0.00661087,24.204,0,392.42
47,0.00218391,26.496,0,392.93
48,0.0122099,23.423,0,395.71
49,0.00686264,26.231,0,397.31
50,0.00180817,23.534,0,397.84
51,0.00153923,17.007,0,398.44
52,0.00531483,20.393,0,400.69
53,0.00304985,26.714,0,402.36
54,0.0039053,21.745,0,403.06
55,0.00434208,21.051,0,403.92
56,0.00372887,22.126,0,407.47
57,0.00287724,19.692,0,408.53
58,0.00123024,19.777,0,409.47
59,0.00502396,23.706,0,411.18
60,0.00508881,18.717,0,412.06
61,0.00189304,26.022,0,413.31
62,0.00148678,24.393,0,415.41
63,0.00660038,23.501,0,417.38
64,0.00248814,22.943,0,417.84
65,0.00136948,18.106,0,419.15
66,0.00650024,25.051,0,421.66
67,0.0027771,28.676,0,424.34
68,0.00769615,25.347,0,425.22
69,0.00124741,18.809,0,425.89
70,0.0042038,27.885,0,428.61
71,0.00971794,27.973,0,429.32
72,0.00194168,20.544,0,430.83
73,0.00410271,26.775,0,432.66
74,0.00604725,27.254,0,433.59
75,0.00752354,20.487,0,434.76
76,0.00442028,22.401,0,436.83
77,0.00278473,17.854,0,437.57
78,0.00205517,22.925,0,439.57
79,0.00271511,25.749,0,442.05
80,0.00270367,16.886,0,442.84
81,0.00114822,24.680,0,444.11
82,0.00727844,21.157,0,444.91
83,0.00122452,19.111,0,447.05
84,0.000968933,23.455,0,449.24
85,0.00473785,21.938,0,449.83
86,0.000680923,18.964,0,450.07
87,0.00094223,20.624,0,453.52
88,0.00238705,31.277,0,455.80
89,0.0048418,21.949,0,454.70
90,0.00305367,19.562,0,457.59
91,0.0031004,23.632,0,459.58
92,0.00116348,20.782,0,459.75
93,0.00566006,20.470,0,460.94
94,0.00102615,21.502,0,463.53
95,0.00216389,26.667,0,464.49
96,0.00854301,21.081,0,465.08
97,0.00235176,23.662,0,464.76
