function,container_name,schedule_time(ms),cold_start(ms),exec_time(ms),queue_time(ms),used_memory(MB),input_n
azure_func_00000413_cpu_native,dazzling_jepsen,1093.7776565551758,1043.731451034546,9.744644165039062,0,None,21
azure_func_00000409_cpu_native,happy_sanderson,1195.0666904449463,1078.3624649047852,12.256622314453125,0,None,21
azure_func_00000409_cpu_native,happy_sanderson,14.518499374389648,0,488.22903633117676,0,None,31
azure_func_00000409_cpu_native,happy_sanderson,75.43325424194336,0,24.112701416015625,0,None,22
azure_func_00000410_cpu_native,elegant_chaplygin,1050.3113269805908,1009.7832679748535,10.938167572021484,0,None,21
azure_func_00000409_cpu_native,happy_sanderson,5.047321319580078,0,77.59881019592285,0,None,25
azure_func_00000409_cpu_native,happy_sanderson,6.482601165771484,0,5.0811767578125,0,None,20
azure_func_00000409_cpu_native,upbeat_lovelace,1373.730182647705,1303.4558296203613,19.09661293029785,0,None,21
azure_func_00000410_cpu_native,elegant_chaplygin,88.51885795593262,0,62.8664493560791,0,None,24
azure_func_00000409_cpu_native,happy_sanderson,31.59618377685547,0,24.0023136138916,0,None,22
azure_func_00000409_cpu_native,happy_sanderson,69.50163841247559,0,13.202667236328125,0,None,21
azure_func_00000409_cpu_native,upbeat_lovelace,27.12702751159668,0,36.24391555786133,0,None,23
azure_func_00000409_cpu_native,upbeat_lovelace,47.94931411743164,0,26.922941207885742,0,None,22
azure_func_00000409_cpu_native,happy_sanderson,32.416582107543945,0,5.605459213256836,0,None,20
azure_func_00000409_cpu_native,competent_cori,1884.514331817627,1801.4180660247803,18.96357536315918,0,None,21
azure_func_00000410_cpu_native,vigilant_saha,1975.6321907043457,1932.2590827941895,21.53635025024414,31,None,22
azure_func_00000410_cpu_native,quizzical_wilson,2234.4977855682373,2146.83198928833,43.347835540771484,2,None,23
azure_func_00000409_cpu_native,competent_cori,3.6067962646484375,0,155.1053524017334,0,None,26
azure_func_00000409_cpu_native,modest_zhukovsky,2291.9583320617676,2252.657890319824,143.28336715698242,0,None,26
azure_func_00000409_cpu_native,competent_cori,15.583038330078125,0,91.23349189758301,0,None,25
azure_func_00000410_cpu_native,quizzical_wilson,7.767438888549805,0,61.89894676208496,0,None,25
azure_func_00000410_cpu_native,practical_germain,1770.9031105041504,1628.1602382659912,1517.0323848724365,0,None,31
azure_func_00000410_cpu_native,adoring_archimedes,2297.9161739349365,2240.568161010742,583.369255065918,19,None,31
azure_func_00000409_cpu_native,competent_cori,79.39314842224121,0,23.206472396850586,0,None,22
azure_func_00000410_cpu_native,practical_germain,78.32455635070801,0,81.49003982543945,0,None,24
azure_func_00000409_cpu_native,friendly_gauss,5606.597900390625,804.8803806304932,61.554908752441406,0,None,24
azure_func_00000409_cpu_native,modest_zhukovsky,58.86435508728027,0,1.4698505401611328,0,None,20
