function,container_name,schedule_time(ms),cold_start(ms),exec_time(ms),queue_time(ms),used_memory(MB),input_n
azure_func_00000413_cpu_native,nostalgic_nightingale,1431.8418502807617,1256.4136981964111,21.949052810668945,0,None,23
azure_func_00000410_cpu_native,elegant_northcutt,4849.853038787842,1132.4608325958252,151.87335014343262,2,None,25
azure_func_00000410_cpu_native,pedantic_jones,4845.507621765137,752.5477409362793,98.79612922668457,0,None,24
azure_func_00000410_cpu_native,stupefied_visvesvaraya,4827.069520950317,944.5676803588867,17.122745513916016,0,None,21
azure_func_00000410_cpu_native,interesting_beaver,4828.567743301392,1768.1612968444824,70.70302963256836,0,None,24
azure_func_00000410_cpu_native,wonderful_robinson,2755.002975463867,2501.1096000671387,17.154455184936523,1,None,22
azure_func_00000410_cpu_native,wonderful_robinson,276.1979103088379,0,103.79481315612793,0,None,25
azure_func_00000409_cpu_native,great_perlman,4214.920997619629,1503.5374164581299,36.889076232910156,0,None,23
azure_func_00000409_cpu_native,exciting_booth,4173.064231872559,2500.5223751068115,21.540403366088867,12,None,22
azure_func_00000410_cpu_native,interesting_beaver,330.92641830444336,0,39.9017333984375,0,None,23
azure_func_00000410_cpu_native,interesting_beaver,258.05187225341797,0,879.1961669921875,235,None,29
azure_func_00000410_cpu_native,interesting_beaver,87.68963813781738,0,63.99798393249512,1320,None,24
azure_func_00000409_cpu_native,jovial_goldstine,2639.4011974334717,2370.4521656036377,1956.165075302124,20,None,32
azure_func_00000410_cpu_native,wonderful_robinson,365.3998374938965,0,90.23594856262207,0,None,25
azure_func_00000410_cpu_native,wonderful_robinson,84.0005874633789,0,83.41050148010254,267,None,24
azure_func_00000410_cpu_native,epic_sinoussi,5074.431896209717,1870.659351348877,167.86646842956543,1,None,26
azure_func_00000410_cpu_native,vibrant_nightingale,5067.46244430542,3011.4121437072754,18.517017364501953,0,None,22
azure_func_00000410_cpu_native,stupefied_visvesvaraya,39.84665870666504,0,899.5084762573242,0,None,29
azure_func_00000409_cpu_native,hardcore_varahamihira,3036.942720413208,2640.577554702759,139.30726051330566,1,None,25
azure_func_00000410_cpu_native,vigilant_black,3389.6212577819824,2981.865644454956,35.816192626953125,0,None,23
