Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,.239,0,13.55
2,0.0178633,4.013,0,13.58
3,0.00213051,27.637,0,14.68
4,0.0205402,37.136,0,16.05
5,0.0323668,39.973,0,16.23
6,0.0198097,26.434,0,16.28
7,0.0186644,14.644,0,16.20
8,0.0299454,13.571,0,16.42
9,0.0462627,37.824,0,17.13
10,0.0711508,69.784,0,17.94
11,0.033309,74.058,0,19.51
12,0.0365801,74.930,0,20.55
13,0.0521612,92.316,0,21.61
14,0.0267248,89.238,0,23.06
15,0.0355425,95.594,0,23.98
16,0.0276299,96.724,0,24.61
17,0.045867,97.468,0,25.94
18,0.0827045,96.228,0,26.37
19,0.0434875,96.757,0,27.53
20,0.049654,97.493,0,29.33
21,0.0308905,97.617,0,29.45
22,0.0287018,96.315,0,30.47
23,0.0538836,99.451,0,31.23
24,0.0371294,99.133,0,32.27
25,0.0366173,95.884,0,33.12
26,0.0233974,99.402,0,33.70
27,0.0272121,95.566,0,35.57
28,0.0226679,96.011,0,35.66
29,0.036581,98.018,0,36.23
30,0.0226545,96.143,0,36.96
31,0.0140047,96.103,0,37.93
32,0.0356092,95.731,0,38.67
33,0.0162249,95.548,0,40.11
34,0.0450201,96.979,0,40.71
35,0.0360489,98.456,0,41.62
36,0.0229321,96.342,0,43.20
37,0.0340815,89.202,0,42.87
38,0.0187454,91.580,0,43.94
39,0.0272264,92.777,0,45.00
40,0.0149136,89.064,0,45.59
41,0.00786209,78.734,0,46.43
42,0.0100584,81.079,0,47.64
43,0.0203905,80.581,0,48.68
44,0.0150108,80.303,0,49.30
45,0.0117178,82.296,0,50.33
46,0.00786209,73.604,0,50.82
47,0.0117197,74.243,0,51.84
48,0.00613689,73.617,0,53.45
49,0.0203867,81.187,0,54.26
50,0.0125322,89.913,0,55.06
51,0.0089283,88.339,0,55.92
52,0.0124741,90.797,0,56.89
53,0.0171986,92.338,0,57.30
54,0.0110579,93.003,0,57.55
55,0.00888729,87.292,0,58.15
56,0.0106964,83.654,0,59.07
57,0.0221195,81.336,0,59.37
58,0.0250587,65.038,0,59.53
59,0.0245762,34.257,0,59.02
60,0.00780869,6.507,0,58.91
61,0.0277576,11.710,0,59.00
62,0.0238094,15.077,0,59.23
63,0.00426102,12.433,0,59.10
64,0.00720596,3.589,0,59.12
65,0.0140705,6.943,0,59.26
66,0.00786209,6.851,0,59.14
67,0.00507355,5.178,0,59.23
68,0.00214291,2.086,0,59.15
69,0,.565,0,59.15
70,0,.592,0,59.16
71,0,.595,0,59.18
72,0,.712,0,59.19
73,0,.503,0,59.19
74,0.00361538,2.025,0,59.20
75,0.00288486,1.492,0,59.23
76,0.0213413,7.136,0,59.47
77,0.0121775,10.374,0,59.31
78,0.0133295,4.110,0,59.40
79,0.00573158,1.909,0,59.35
80,0,.537,0,59.35
81,0.00253391,2.606,0,59.38
82,0.00466442,3.751,0,59.34
83,0,.713,0,59.35
84,0.0159216,5.001,0,59.51
85,0.0302191,12.035,0,59.48
86,0.0545845,24.861,0,59.94
87,0.0462694,52.785,0,60.20
88,0.0542765,49.565,0,60.14
89,0.092989,71.771,0,61.05
90,0.0509806,73.805,0,60.75
91,0.0167952,29.585,0,60.38
92,0.0252056,11.708,0,60.37
93,0.0273237,12.444,0,60.33
94,0.00826931,3.680,0,60.30
95,0.0137453,5.483,0,60.31
96,0.0119295,4.716,0,60.43
97,0.00213051,6.708,0,60.37
98,0.0154715,4.477,0,60.36
99,0,1.038,0,60.41
100,0.0349741,12.658,0,60.64
101,0.00573158,6.404,0,60.56
102,0.0212984,17.478,0,60.71
103,0.00999451,13.221,0,60.56
104,0.0148096,13.791,0,60.77
105,0.0182638,13.303,0,60.55
106,0.0353498,20.364,0,60.86
107,0.00999355,15.332,0,60.71
108,0.00360012,3.682,0,60.71
109,0.00720024,5.153,0,60.72
110,0.0092907,3.509,0,60.74
111,0.0208759,15.689,0,60.84
112,0.0144062,16.885,0,60.89
113,0.011116,6.906,0,60.77
114,0.0144033,3.207,0,60.78
115,0.00973892,4.328,0,60.83
116,0.00466633,1.753,0,60.83
117,0.00760937,3.286,0,60.97
118,0.00573254,7.791,0,60.95
119,0.0223494,8.506,0,61.12
120,0.0151777,9.131,0,61.10
121,0.023427,8.787,0,61.19
122,0.0190706,13.452,0,61.16
123,0.0118704,7.669,0,61.12
124,0.00841713,8.715,0,61.25
125,0.0512943,25.037,0,62.20
126,0.0323191,53.204,0,61.86
127,0.021863,40.244,0,61.56
128,0.00786209,14.783,0,61.39
129,0.0114632,7.816,0,61.35
130,0.0144024,4.541,0,61.45
131,0.0119696,3.802,0,61.47
132,0.0238943,7.840,0,61.66
133,0.031292,10.848,0,61.70
134,0.0280018,19.945,0,61.76
135,0.016305,9.592,0,61.99
136,0.0158758,16.329,0,62.12
137,0.0204897,24.684,0,62.15
138,0.0234909,20.504,0,62.21
139,0.0299044,11.114,0,62.31
140,0.0265875,14.607,0,62.17
141,0.0108032,12.108,0,62.18
142,0.0470915,24.049,0,62.70
143,0.0235415,22.124,0,62.32
144,0.0262966,9.088,0,62.33
145,0.0118704,9.036,0,62.46
146,0.0471964,18.116,0,62.50
147,0.0393343,60.158,0,62.91
148,0.00573158,28.558,0,62.82
149,0.0121241,9.666,0,62.51
150,0.00375462,3.932,0,62.58
