Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,1.164,0,63.49
2,0.0140123,1.574,0,63.50
3,0,20.944,0,64.23
4,0.0214272,19.361,0,64.92
5,0.027483,37.994,0,65.59
6,0.014925,38.531,0,66.28
7,0.0294971,36.409,0,66.31
8,0.0273323,20.012,0,66.79
9,0.055809,35.920,0,66.81
10,0.0583639,81.893,0,68.04
11,0.028285,97.858,0,68.71
12,0.0521212,92.060,0,70.06
13,0.0305824,98.901,0,71.89
14,0.0328512,98.925,0,72.61
15,0.0591516,99.438,0,72.76
16,0.091094,81.695,0,71.35
17,0.0563745,50.929,0,71.18
18,0.0933371,58.119,0,72.19
19,0.0696726,99.379,0,72.48
20,0.0303745,97.985,0,72.20
21,0.0621996,81.229,0,72.08
22,0.0462475,48.259,0,71.81
23,0.0645084,29.144,0,71.44
24,0.0414219,29.453,0,71.72
25,0.0575075,32.297,0,71.68
26,0.0253477,17.722,0,71.52
27,0.0153666,9.784,0,71.52
28,0.0387135,28.916,0,71.83
29,0.0236206,18.820,0,71.70
30,0.0160904,10.350,0,71.65
31,0.0148687,8.789,0,71.72
32,0.0140991,7.931,0,71.66
33,0.0284901,20.912,0,71.73
34,0.00426102,10.413,0,71.68
35,0.0115795,12.102,0,71.78
36,0.00319576,4.656,0,71.67
37,0,1.537,0,71.67
38,0,1.086,0,71.67
39,0,1.220,0,71.68
40,0,1.387,0,71.69
41,0,1.595,0,71.71
42,0,1.397,0,71.70
43,0,1.367,0,71.70
44,0,1.141,0,71.69
45,0,1.164,0,71.70
46,0,1.466,0,71.69
47,0,1.308,0,71.69
48,0,1.396,0,71.72
49,0,1.524,0,71.72
50,0,1.500,0,71.72
51,0,1.596,0,71.75
52,0,1.688,0,71.76
53,0,1.226,0,71.77
54,0,1.224,0,71.78
55,0,1.359,0,71.78
56,0,1.283,0,71.77
57,0,1.489,0,71.78
58,0,1.579,0,71.80
59,0,1.447,0,71.83
60,0,1.164,0,71.83
61,0,1.476,0,71.87
62,0,1.369,0,71.87
63,0,1.257,0,71.85
64,0,1.256,0,71.87
65,0,1.841,0,71.84
66,0,1.349,0,71.85
67,0,1.336,0,71.86
68,0,1.274,0,71.85
69,0,1.136,0,71.88
70,0,1.517,0,71.87
71,0,1.254,0,71.86
72,0,1.166,0,71.85
73,0,1.786,0,71.87
74,0,1.483,0,71.84
75,0,1.262,0,71.82
76,0,1.291,0,71.83
77,0,1.283,0,71.84
78,0,1.191,0,71.83
79,0,1.165,0,71.83
80,0,1.228,0,71.85
81,0,1.506,0,71.85
82,0,1.147,0,71.86
83,0,1.262,0,71.84
84,0,1.161,0,71.85
85,0,1.424,0,71.87
86,0,1.079,0,71.85
87,0.00335026,2.154,0,72.05
88,0.00416088,4.517,0,72.09
