Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,1.111,0,23.46
2,0.0118408,1.030,0,23.46
3,0.00795174,16.604,0,23.92
4,0.0128689,19.396,0,24.50
5,0.0239086,40.295,0,25.40
6,0.0279627,40.177,0,25.70
7,0.0251017,11.263,0,25.58
8,0.0241365,12.126,0,25.85
9,0.027566,44.835,0,26.31
10,0.090332,78.160,0,27.04
11,0.0371056,54.230,0,26.61
12,0.0695181,45.710,0,26.59
13,0.0986748,43.632,0,27.10
14,0.068614,57.465,0,26.91
15,0.0423393,18.594,0,26.92
16,0.0310717,13.420,0,26.84
17,0.0256443,20.215,0,26.80
18,0.0286741,16.496,0,27.03
19,0.0358725,26.378,0,26.93
20,0.0664482,71.969,0,27.97
21,0.0471096,83.272,0,27.65
22,0.0955038,44.724,0,27.29
23,0.0921364,23.653,0,27.17
24,0.0173922,11.593,0,27.14
25,0.0108395,18.570,0,27.15
26,0.0343246,21.065,0,27.55
27,0.0284548,40.614,0,27.68
28,0.0438194,42.314,0,27.37
29,0.026618,11.150,0,27.25
30,0.0294132,25.060,0,27.61
31,0.0175543,31.011,0,27.55
32,0.0252409,12.994,0,27.34
33,0.0224228,7.288,0,27.37
34,0.0140533,9.033,0,27.39
35,0.0163507,6.014,0,27.52
36,0.019042,15.058,0,27.45
37,0.0100164,4.602,0,27.37
38,0.0127392,7.437,0,27.47
39,0.0126886,5.529,0,27.47
40,0.0168734,11.822,0,27.71
41,0.0175123,21.258,0,27.51
42,0.032279,18.566,0,27.55
43,0.0275764,23.771,0,27.64
44,0.0448856,17.054,0,27.50
45,0.0129719,5.742,0,27.55
46,0.015521,11.114,0,27.51
47,0.0182571,11.543,0,27.70
48,0.0178757,8.100,0,27.47
49,0.0101948,3.521,0,27.59
50,0.0176497,11.869,0,27.55
51,0.00319576,2.537,0,27.47
52,0,.952,0,27.47
53,0.00213051,1.455,0,27.48
54,0.0101929,7.960,0,27.52
55,0.0114861,5.997,0,27.47
56,0.0073576,2.939,0,27.49
57,0.00426102,3.113,0,27.49
58,0.000741005,.956,0,27.51
59,0.00106525,4.579,0,27.54
60,0.00364017,2.366,0,27.52
61,0.00509644,2.324,0,27.52
62,0.0125475,6.287,0,27.52
63,0.0109282,9.590,0,27.64
64,0.00426102,5.761,0,27.56
65,0.00509739,5.177,0,27.64
66,0.00445271,5.143,0,27.56
67,0.00764561,2.030,0,27.61
68,0.0104227,5.903,0,27.58
69,0.00106525,1.998,0,27.54
70,0,1.103,0,27.53
71,0.00148392,.954,0,27.54
72,0.00467968,5.275,0,27.56
73,0.00648499,4.959,0,27.57
74,0.0104227,5.942,0,27.54
75,0.00615978,3.811,0,27.59
76,0.0155678,5.596,0,27.72
77,0.0169439,12.555,0,27.65
78,0.0125666,25.528,0,27.90
79,0.0113668,13.687,0,27.63
80,0.0172329,7.363,0,27.59
81,0.0127325,10.444,0,27.68
82,0.00574493,11.839,0,27.66
83,0.00787354,11.355,0,27.61
84,0.00106525,2.651,0,27.58
85,0,.834,0,27.58
86,0,1.099,0,27.57
87,0,1.106,0,27.57
88,0,1.011,0,27.56
89,0,.979,0,27.58
90,0.00254726,4.151,0,27.61
91,0.00657082,4.285,0,27.64
92,0.0193052,12.183,0,27.79
93,0.0150948,12.567,0,27.71
94,0.0146742,8.128,0,27.61
95,0.00467777,2.653,0,27.56
96,0,.922,0,27.57
97,0.00435066,2.570,0,27.66
98,0.00213051,2.173,0,27.58
99,0,.855,0,27.59
100,0.0212107,8.821,0,27.70
101,0.0263519,15.178,0,27.71
102,0.0375671,36.681,0,27.81
103,0.0450125,40.498,0,28.00
104,0.0803537,41.590,0,28.06
105,0.0286703,87.075,0,28.64
106,0.0660505,49.393,0,28.04
107,0.0438643,15.508,0,27.77
108,0.0215683,11.697,0,28.02
109,0.0259428,17.816,0,27.84
110,0.0125532,9.107,0,27.81
111,0.0172482,6.040,0,27.76
112,0.015522,11.325,0,27.79
113,0.00213051,1.881,0,27.75
114,0.00912571,6.739,0,27.80
115,0.00539207,1.426,0,27.75
116,0.0184412,17.935,0,28.13
117,0.00574303,20.107,0,28.01
118,0.0355902,15.799,0,27.91
119,0.015008,5.638,0,27.76
120,0.0138016,9.704,0,27.92
121,0.0161676,14.019,0,27.86
122,0.0226927,23.083,0,28.04
123,0.0174608,13.995,0,27.87
124,0.0117178,4.833,0,27.80
125,0.00509262,6.036,0,27.94
126,0.00722504,11.389,0,27.91
127,0.0223856,12.571,0,27.95
128,0.00912571,13.979,0,28.02
129,0.0153399,14.929,0,27.85
130,0.0155144,3.172,0,27.84
131,0.008708,8.502,0,27.88
132,0.00716114,6.311,0,27.70
133,0.0076437,3.321,0,27.73
134,0.0058279,8.054,0,27.74
135,0.022006,6.869,0,27.72
136,0.0137978,12.385,0,27.78
137,0.0193453,12.027,0,27.82
138,0.0169973,14.036,0,27.83
139,0.0225573,8.973,0,27.71
140,0.00763798,5.647,0,27.75
141,0.0436802,7.066,0,27.86
142,0.0134811,62.118,0,28.28
143,0.0208435,43.134,0,28.09
144,0.0494184,12.170,0,27.81
145,0.00622559,7.531,0,27.89
146,0.0155134,8.420,0,27.81
147,0.0100975,4.108,0,27.73
148,0.013895,13.709,0,27.94
149,0.0293179,19.368,0,27.93
150,0.0283527,33.765,0,27.99
151,0.0152874,17.654,0,28.01
152,0.0394764,24.468,0,27.82
153,0.0246429,10.274,0,27.84
154,0.0169992,12.676,0,27.89
155,0.0218639,23.300,0,27.96
156,0.0373363,21.102,0,27.86
157,0.0119028,13.757,0,27.92
158,0.0352716,26.150,0,27.98
159,0.0264444,30.965,0,27.90
160,0.0302,16.386,0,27.95
161,0.0258446,15.363,0,27.84
162,0.0207052,13.528,0,27.95
163,0.0414906,43.046,0,28.16
164,0.0156403,21.375,0,27.90
165,0.0284376,8.138,0,27.82
166,0.0251522,10.973,0,27.87
167,0.0320015,38.357,0,28.20
168,0.029645,26.137,0,27.97
169,0.0350142,17.466,0,27.92
170,0.0146799,14.964,0,27.88
171,0.0210247,15.767,0,27.96
172,0.0183897,12.185,0,27.89
173,0.0291328,9.199,0,27.81
174,0.00838375,6.071,0,27.94
175,0.0320702,19.292,0,28.11
176,0.0270481,14.535,0,27.91
177,0.0131502,9.546,0,27.94
178,0.0174122,14.492,0,28.01
179,0.0250511,23.286,0,28.13
180,0.0286789,15.118,0,27.93
181,0.0239944,13.212,0,28.09
182,0.0344181,26.230,0,28.11
183,0.0225534,16.467,0,28.03
184,0.0414133,22.629,0,28.12
185,0.0462236,31.083,0,28.16
186,0.0282545,37.044,0,28.18
187,0.0393925,32.818,0,28.12
188,0.0323887,18.003,0,28.14
189,0.0244122,28.308,0,28.20
190,0.0373297,16.686,0,28.03
191,0.0308867,19.015,0,28.25
192,0.0290699,34.285,0,28.28
193,0.0262632,26.666,0,28.26
194,0.0433493,27.179,0,28.09
195,0.0434189,24.699,0,28.04
196,0.0239687,15.000,0,28.00
197,0.0112543,7.543,0,27.98
198,0.00986862,9.622,0,27.99
199,0.00467777,4.640,0,27.96
200,0.0145359,8.453,0,28.10
201,0.0234861,18.802,0,27.98
202,0.0196085,16.716,0,28.11
203,0.0241652,9.721,0,28.13
204,0.0216827,30.108,0,28.20
205,0.0279455,14.247,0,28.03
206,0.0189371,7.731,0,27.95
207,0.0109282,4.047,0,28.04
208,0.0144482,9.362,0,27.99
209,0.0120316,10.419,0,28.08
210,0.0250959,6.524,0,28.04
211,0.0154238,9.028,0,27.98
212,0.0108376,4.616,0,28.04
213,0.00616169,6.962,0,28.09
214,0.0142164,12.425,0,28.06
215,0.028677,11.047,0,28.22
216,0.00977612,14.264,0,28.11
217,0.0203695,24.033,0,28.49
218,0.0294666,18.681,0,28.44
219,0.02701,33.323,0,28.67
220,0.0246191,24.710,0,28.42
221,0.0192165,16.338,0,28.52
222,0.026124,21.999,0,28.14
223,0.00568962,7.979,0,28.10
224,0.021019,9.248,0,28.21
225,0.0263033,19.719,0,28.40
226,0.0233898,32.979,0,28.26
227,0.0219078,14.653,0,28.24
228,0.0301991,17.978,0,28.16
229,0.00829029,8.777,0,28.12
230,0.0215855,9.088,0,28.13
231,0.00870895,12.021,0,28.13
232,0.00574112,5.824,0,28.10
233,0.00870895,4.445,0,28.15
234,0.0272522,9.267,0,28.41
235,0.0129833,16.622,0,28.28
236,0.00859928,10.369,0,28.06
237,0.0091238,9.916,0,28.14
238,0.00798321,11.294,0,28.22
239,0.0299292,25.304,0,28.36
240,0.00935459,19.611,0,28.27
241,0.0285339,9.634,0,28.12
242,0,4.060,0,28.11
243,0.0133801,5.885,0,28.12
244,0.0100994,3.531,0,28.12
245,0.0371304,26.957,0,28.33
246,0.0265322,20.497,0,28.24
247,0.0443802,20.982,0,28.18
248,0.03228,18.176,0,28.33
249,0.0378408,20.060,0,28.26
250,0.0272608,26.914,0,28.40
251,0.028616,16.846,0,28.23
252,0.0269594,29.390,0,28.44
253,0.0239954,33.343,0,28.52
254,0.0406961,22.625,0,28.27
255,0.0203724,18.387,0,28.37
256,0.0262356,16.511,0,28.22
257,0.0271406,15.072,0,28.69
258,0.038909,30.096,0,28.25
259,0.0175009,6.323,0,28.21
260,0.0232468,15.576,0,28.33
261,0.0382557,16.361,0,28.21
262,0.0262566,9.721,0,28.17
263,0.0072279,10.122,0,28.26
264,0.00213051,7.329,0,28.12
265,0.0152073,8.758,0,28.10
266,0.011404,3.267,0,28.12
267,0.00872231,3.991,0,28.12
268,0.00361252,1.867,0,28.13
269,0.0101891,2.630,0,28.27
270,0.00828838,7.958,0,28.21
271,0.02209,12.778,0,28.31
272,0.0225143,9.666,0,28.27
273,0.0259418,15.490,0,28.32
274,0.0182934,14.920,0,28.27
