Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,.236,0,14.95
2,0.0148802,3.773,0,15.29
3,0.00253773,14.200,0,15.98
4,0.0126781,27.979,0,17.51
5,0.0191135,43.864,0,18.10
6,0.0186672,59.294,0,19.56
7,0.0206146,60.892,0,19.96
8,0.0438051,56.334,0,20.57
9,0.0829687,67.626,0,21.10
10,0.0514669,89.237,0,22.03
11,0.0774641,79.382,0,21.75
12,0.0805664,54.824,0,21.71
13,0.0767412,69.889,0,22.29
14,0.0485764,50.150,0,22.07
15,0.0283861,27.978,0,21.82
16,0.033742,13.563,0,21.78
17,0.0204639,16.050,0,21.77
18,0.0374908,21.419,0,21.87
19,0.068965,24.631,0,22.38
20,0.0790863,71.955,0,22.66
21,0.0490313,50.439,0,22.39
22,0.0539083,38.810,0,22.61
23,0.049037,33.831,0,22.30
24,0.028409,25.487,0,22.36
25,0.0208941,11.040,0,22.30
26,0.0447416,27.446,0,22.46
27,0.0421143,26.365,0,22.43
28,0.0129356,13.648,0,22.36
29,0.0184221,8.626,0,22.40
30,0.0314484,22.558,0,22.56
31,0.0108032,12.829,0,22.60
32,0.0322647,8.333,0,22.50
33,0.0117121,5.326,0,22.57
34,0.0154715,8.889,0,22.58
35,0.027441,16.008,0,22.65
36,0.00966358,12.142,0,22.53
37,0.00900269,2.010,0,22.49
38,0.00973988,4.986,0,22.54
39,0.0162096,7.041,0,22.53
40,0.0224209,11.141,0,22.68
41,0.00786018,14.114,0,22.55
42,0.0393572,21.239,0,22.71
43,0.0374088,17.945,0,22.70
44,0.0298805,18.733,0,22.67
45,0.0140028,12.596,0,22.57
46,0.00974178,9.897,0,22.62
47,0.0277529,22.553,0,22.71
48,0.0118647,10.578,0,22.69
49,0.01441,4.610,0,22.62
50,0.0169649,3.015,0,22.56
51,0,.323,0,22.54
52,0,.444,0,22.51
53,0.00286579,1.190,0,22.53
54,0.0112123,3.574,0,22.61
55,0.00720215,3.304,0,22.61
56,0.00826836,2.786,0,22.62
57,0.00720215,6.556,0,22.64
58,0.00106525,1.321,0,22.60
59,0.00360107,1.282,0,22.60
60,0,.327,0,22.60
61,0.00572968,3.056,0,22.61
62,0.0169382,6.133,0,22.65
63,0.011941,8.160,0,22.77
64,0.00639153,7.230,0,22.60
65,0.00360203,1.223,0,22.65
66,0.00360107,1.461,0,22.67
67,0.00466824,4.055,0,22.64
68,0.00943279,10.849,0,22.76
69,0.00319576,5.317,0,22.65
70,0.00106525,.418,0,22.61
71,0,.383,0,22.60
72,0.00720596,1.674,0,22.62
73,0.00253773,1.829,0,22.63
74,0.0115404,7.162,0,22.71
75,0.0082674,2.920,0,22.63
76,0.0040102,1.366,0,22.72
77,0.027009,9.933,0,22.79
78,0.0217533,9.350,0,22.75
79,0.00852203,6.169,0,22.72
80,0.00294495,4.219,0,22.77
81,0.0133352,8.640,0,22.81
82,0.0142536,7.487,0,22.70
83,0.00507355,3.101,0,22.78
84,0.00213051,2.136,0,22.70
85,0,.269,0,22.70
86,0,.377,0,22.70
87,0,.323,0,22.70
88,0,.289,0,22.71
89,0,.354,0,22.71
90,0.00360107,1.242,0,22.70
91,0.00253391,.868,0,22.74
92,0.0166759,4.226,0,22.90
93,0.0167894,10.918,0,22.72
94,0.0122662,2.167,0,22.76
95,0.00613308,2.090,0,22.74
96,0.000714302,.704,0,22.72
97,0.00253391,1.436,0,22.76
98,0.00466442,3.000,0,22.74
99,0,.297,0,22.71
100,0.00623894,.803,0,22.88
101,0.0337982,11.339,0,22.82
102,0.0406017,13.662,0,22.98
103,0.0470409,31.276,0,23.41
104,0.0535393,42.632,0,23.19
105,0.0770388,45.205,0,23.49
106,0.0517368,44.121,0,23.35
107,0.027113,30.603,0,23.26
108,0.0286541,18.697,0,23.14
109,0.0366774,12.598,0,23.12
110,0.0150681,6.632,0,23.04
111,0.00767136,3.307,0,23.09
112,0.0155277,3.960,0,23.06
113,0.00852203,7.750,0,23.04
114,0.00867462,4.205,0,23.04
115,0.00431538,.954,0,23.02
116,0.0127535,2.589,0,23.08
117,0.0182657,12.311,0,23.15
118,0.0122709,6.526,0,23.24
119,0.0172186,20.161,0,23.21
120,0.0190706,9.257,0,23.15
121,0.0142193,15.063,0,23.17
122,0.0202179,5.627,0,23.11
123,0.00705051,14.298,0,23.20
124,0.0099926,6.873,0,23.10
125,0.00398254,4.330,0,23.17
126,0.00933266,8.026,0,23.15
127,0.0243988,5.627,0,23.21
128,0.0114632,15.327,0,23.25
129,0.0179567,15.566,0,23.22
130,0.00644588,2.676,0,23.11
131,0.0166092,3.607,0,23.21
132,0.00426102,2.867,0,23.12
133,0.00360107,.981,0,23.12
134,0.00793934,5.840,0,23.22
135,0.0176592,5.878,0,23.26
136,0.0197868,8.596,0,23.19
137,0.0157967,7.953,0,23.12
138,0.0263481,9.746,0,23.24
139,0.013052,10.044,0,23.28
140,0.010047,6.079,0,23.17
141,0.00720024,7.088,0,23.18
142,0.0399256,20.426,0,23.50
143,0.0256872,32.571,0,23.59
144,0.0167885,28.528,0,23.43
145,0.00679684,21.980,0,23.38
146,0.0253115,12.593,0,23.24
147,0.031847,3.888,0,23.21
148,0.00973988,2.010,0,23.22
149,0.0252314,6.371,0,23.28
150,0.0316753,8.704,0,23.31
151,0.0285206,7.880,0,23.32
152,0.0109577,5.498,0,23.45
153,0.0175562,18.894,0,23.38
154,0.0251541,24.694,0,23.54
155,0.0226192,18.244,0,23.44
156,0.0366726,11.438,0,23.42
157,0.0280781,14.182,0,23.41
158,0.0108032,10.535,0,23.41
159,0.0379581,17.526,0,23.60
160,0.0323877,19.501,0,23.44
161,0.0344448,9.781,0,23.37
162,0.0158539,7.439,0,23.37
163,0.026351,13.532,0,23.46
164,0.044383,17.910,0,23.58
165,0.00360107,19.541,0,23.60
166,0.0192499,14.384,0,23.45
167,0.00712776,3.571,0,23.41
168,0,2.461,0,23.41
169,0,2.562,0,23.42
170,0,2.436,0,23.41
171,0,2.597,0,23.43
172,0,2.431,0,23.40
173,0,2.584,0,23.41
174,0.0182638,2.154,0,23.60
175,0.00429249,2.761,0,23.40
