Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,.504,0,14.13
2,0.016305,3.175,0,14.20
3,0.00319576,24.362,0,15.05
4,0.0141487,44.915,0,16.78
5,0.0296335,51.433,0,17.73
6,0.0304842,38.757,0,17.70
7,0.0154686,14.487,0,17.70
8,0.0346136,15.436,0,17.88
9,0.0473795,41.063,0,19.17
10,0.0723991,73.559,0,20.33
11,0.0334282,75.862,0,21.79
12,0.0400257,84.042,0,22.18
13,0.0625725,84.711,0,23.47
14,0.0358906,82.321,0,24.40
15,0.0276527,84.598,0,26.49
16,0.0441647,83.666,0,26.71
17,0.02071,91.909,0,28.38
18,0.0425825,95.610,0,28.93
19,0.0552788,95.341,0,30.84
20,0.0517044,96.662,0,31.38
21,0.068078,91.797,0,33.01
22,0.0323429,88.510,0,32.91
23,0.0214167,88.080,0,34.52
24,0.0440722,88.426,0,35.04
25,0.0498476,94.038,0,36.03
26,0.0192318,91.018,0,37.21
27,0.0430403,90.889,0,38.24
28,0.0193901,94.059,0,38.84
29,0.0354605,81.218,0,39.49
30,0.0275946,75.659,0,40.44
31,0.0276489,69.707,0,41.44
32,0.0225105,84.645,0,42.95
33,0.0132847,86.289,0,43.45
34,0.0136719,80.459,0,44.27
35,0.0295124,90.526,0,45.83
36,0.0196104,93.170,0,46.98
37,0.0645437,96.120,0,48.22
38,0.0478325,87.791,0,48.53
39,0.0342989,78.263,0,48.70
40,0.0208139,60.222,0,48.84
41,0.0288181,61.051,0,49.66
42,0.0190468,50.673,0,49.75
43,0.0197363,29.576,0,50.22
44,0.018117,31.436,0,50.81
45,0.0117435,22.000,0,50.29
46,0.00360107,1.910,0,50.28
47,0.00182438,.777,0,50.27
48,0.0101042,4.403,0,50.29
49,0.00867271,4.305,0,50.31
50,0.00689602,3.796,0,50.41
51,0.00213051,5.352,0,50.37
52,0.00253582,1.490,0,50.38
53,0.00106525,.893,0,50.32
54,0.00400639,1.847,0,50.42
55,0.00689507,2.295,0,50.48
56,0.00827599,5.991,0,50.51
57,0.0137339,12.429,0,50.59
58,0.00284481,3.879,0,50.45
59,0.00720692,2.171,0,50.48
60,0.00253582,3.078,0,50.56
61,0.00796223,4.571,0,50.63
