container_name,hits,invos,hit_rate,total_cached_keys,total_num_eviction
interesting_noether,91,98,0.9285714285714286,18,4
thirsty_visvesvaraya,38,44,0.8636363636363636,11,0
gracious_hodgkin,168,184,0.9130434782608695,28,15
nifty_dirac,203,227,0.8942731277533039,38,26
adoring_colden,63,71,0.8873239436619719,17,6
heuristic_hamilton,226,247,0.9149797570850202,26,16
epic_ardinghelli,5,7,0.7142857142857143,6,0
objective_haslett,15,18,0.8333333333333334,5,0
strange_perlman,384,412,0.9320388349514563,42,31
objective_gates,143,152,0.9407894736842105,24,14
blissful_mendel,194,210,0.9238095238095239,45,34
jolly_dhawan,171,191,0.8952879581151832,35,24
