Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0.000310898,6.891,0,159.16
2,0.000400543,.041,0,159.15
3,0.00466728,.051,0,159.12
4,0.00141144,.061,0,159.13
5,8.58307e-05,.760,0,159.08
6,0.00343037,.051,0,159.07
7,0.00209522,.030,0,159.05
8,0.00124931,.041,0,159.05
9,0.00209522,.946,0,159.01
10,0.0459051,1.774,0,159.58
11,0.000244141,22.210,0,162.60
12,6.10352e-05,23.563,0,165.41
13,0.00419044,26.250,0,166.77
14,6.10352e-05,29.244,0,170.40
15,0,27.126,0,172.58
16,0.00446224,24.446,0,174.71
17,0.000421524,29.465,0,177.40
18,0.000482559,27.028,0,179.06
19,0.004673,30.462,0,180.63
20,0.000210762,29.784,0,182.89
21,6.10352e-05,26.178,0,185.92
22,0.00419044,30.211,0,187.26
23,0.000272751,27.662,0,189.63
24,0.000211716,26.629,0,191.30
25,0.0044632,31.048,0,196.96
26,6.10352e-05,29.169,0,196.01
27,0.00419044,25.868,0,198.19
28,6.10352e-05,30.092,0,200.04
29,0,22.866,0,203.13
30,0.00425148,24.901,0,205.06
31,0,28.716,0,207.14
32,0.000481606,23.494,0,209.29
33,0.00461102,22.688,0,210.19
34,0.000481606,26.438,0,213.26
35,0.0103254,25.407,0,214.42
36,0.00425148,27.483,0,216.86
37,0,38.820,0,224.26
38,6.10352e-05,35.422,0,220.47
39,0.00419044,19.307,0,221.63
40,6.10352e-05,20.131,0,222.81
41,0,15.021,0,222.71
42,0.00477409,15.671,0,223.79
43,0.000522614,17.562,0,225.24
44,0.00012207,17.152,0,226.20
45,0.00267887,15.870,0,227.19
46,0.00221729,17.028,0,228.34
47,0,18.409,0,229.03
48,0.000583649,12.237,0,230.06
49,0.00419044,17.349,0,231.20
50,0.00143623,12.134,0,232.08
51,0.00251961,17.252,0,233.47
52,0.00503922,13.309,0,233.99
53,0.00145912,17.435,0,234.88
54,6.10352e-05,16.532,0,236.20
55,0.00419044,13.661,0,237.09
56,0,14.613,0,238.78
57,0.00425148,19.477,0,239.82
58,0.000742912,19.549,0,241.21
59,0.000596046,12.273,0,241.48
60,0.00236702,16.934,0,242.46
61,0.00251579,13.395,0,243.36
62,0.000270844,14.801,0,244.73
63,0.00230503,15.772,0,246.26
64,0.00236607,13.847,0,245.89
65,0,16.177,0,247.71
66,0.00425148,18.238,0,248.84
67,6.10352e-05,15.181,0,249.10
68,6.10352e-05,18.337,0,250.34
69,0.00209522,14.259,0,251.00
70,0.00215626,14.932,0,252.05
71,0,13.663,0,253.65
72,6.10352e-05,22.548,0,254.54
73,0.00419044,12.066,0,255.15
74,6.10352e-05,16.831,0,256.01
75,0,12.282,0,256.62
76,0.00425148,17.238,0,258.86
77,0,13.378,0,258.95
78,6.10352e-05,15.073,0,259.79
79,0.00419044,12.138,0,261.55
80,6.10352e-05,15.729,0,262.79
81,0,13.329,0,263.20
82,0.00425148,17.998,0,264.58
83,6.10352e-05,12.856,0,266.17
84,0.00419044,14.991,0,266.29
85,6.10352e-05,13.915,0,266.44
86,0,14.782,0,268.90
87,0.00425148,12.938,0,268.93
88,0,16.803,0,270.57
89,6.10352e-05,12.672,0,271.17
90,0.00209522,18.684,0,272.66
91,0.00215626,14.387,0,272.38
92,0.00990486,15.345,0,273.36
93,0.00215626,12.668,0,274.61
94,0.00230694,17.283,0,275.76
95,0.00100327,14.778,0,277.10
96,0.00648308,17.322,0,277.94
97,0.00239086,50.690,0,308.99
98,0.00543022,36.372,0,279.09
99,0.00044632,49.031,0,308.83
100,0,33.748,0,279.72
101,0.00534058,6.289,0,279.78
102,0,8.386,0,277.07
103,6.10352e-05,6.006,0,276.69
104,0.00419044,7.702,0,276.67
105,6.10352e-05,7.277,0,276.30
106,0,5.770,0,276.56
107,0.00463676,6.850,0,276.84
108,0,6.184,0,276.33
109,6.10352e-05,8.142,0,277.38
110,0.00456047,5.706,0,275.87
111,6.10352e-05,6.281,0,275.57
112,0.000278473,.142,0,275.58
113,0.00425148,.746,0,274.40
