Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,1.276,0,57.83
2,0.0139656,1.463,0,57.86
3,0,17.774,0,58.88
4,0.0289307,20.279,0,60.82
5,0.0366478,21.139,0,62.59
6,0.0169716,3.777,0,62.83
7,0.0213079,2.721,0,62.84
8,0.0268536,3.567,0,63.10
9,0.0400867,7.610,0,63.47
10,0.159931,9.085,0,63.51
11,0.0469713,4.361,0,63.54
12,0.047636,4.338,0,63.50
13,0.0878305,5.312,0,63.51
14,0.0610971,10.677,0,63.97
15,0.0316467,3.443,0,64.05
16,0.020998,2.384,0,64.04
17,0.0219841,2.556,0,64.05
18,0.0183649,3.080,0,63.89
19,0.0042181,4.753,0,63.92
