Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0.000183105,6.920,0,127.05
2,0.00252247,.144,0,127.01
3,0.00216198,.071,0,126.98
4,0.00128555,.092,0,126.99
5,0,.041,0,126.97
6,0.0053997,1.601,0,126.94
7,0.00015831,.071,0,126.92
8,0.00127602,.071,0,126.86
9,0.00471115,.164,0,126.85
10,0.0431423,1.364,0,127.38
11,0.000377655,16.234,0,127.66
12,0.00458527,24.653,0,132.85
13,0.000827789,26.477,0,136.92
14,0.000572205,14.076,0,139.45
15,0.00452423,5.292,0,139.84
16,0.000394821,6.538,0,140.49
17,0.000400543,8.274,0,139.54
18,0.00438499,7.931,0,139.97
19,0.000200272,6.260,0,140.51
20,0.000461578,7.193,0,141.08
21,0.00459099,7.676,0,141.56
22,0.000528336,7.667,0,142.02
23,0.000267029,6.101,0,142.36
24,0.00638485,6.397,0,142.75
25,0.00262356,8.851,0,143.55
26,0.00256252,7.187,0,144.41
27,0.00249004,7.299,0,145.34
28,0.000333786,6.861,0,146.19
29,0.000328064,7.256,0,146.80
30,0.00465775,8.322,0,147.05
31,0.000328064,7.754,0,147.90
32,0.000267029,5.764,0,148.23
33,0.00451851,11.035,0,152.05
34,0.000333786,3.148,0,152.09
35,0.000394821,5.732,0,152.45
36,0.00452423,5.031,0,150.90
37,0.000328064,5.372,0,150.85
38,0.000333786,4.869,0,150.98
39,0.00451851,6.911,0,150.98
40,0.000333786,6.999,0,150.40
41,0.000394821,4.319,0,150.46
42,0.00451851,4.187,0,150.54
43,0.000400543,3.183,0,150.53
44,0.0102329,4.928,0,150.53
45,0.00459099,4.614,0,150.62
46,0.000394821,3.866,0,150.69
47,0.000333786,5.726,0,150.76
48,0.00276947,2.885,0,150.84
49,0.0025568,5.675,0,150.92
50,0.000461578,3.167,0,150.92
51,0.0048027,3.457,0,150.94
52,0.00053978,3.428,0,150.95
53,0.00264072,5.215,0,150.92
54,0.00270176,4.534,0,150.91
55,0.000400543,3.957,0,150.90
56,0.000394821,3.117,0,150.88
57,0.00445747,5.840,0,150.86
58,0.000261307,4.599,0,150.97
59,0.000200272,4.323,0,151.03
60,0.000333786,3.318,0,151.12
61,0.000461578,3.467,0,151.20
62,0.00439072,3.076,0,151.20
63,0.000394821,3.485,0,151.17
64,0.000267029,4.566,0,151.33
65,0.00465202,3.459,0,151.33
66,0.000333786,4.477,0,151.50
67,0.000261307,3.777,0,151.57
68,0.00459099,6.154,0,151.71
69,0.000461578,4.127,0,151.72
70,0.000333786,2.712,0,151.73
71,0.00451851,3.283,0,151.72
72,0.000267029,5.621,0,151.74
73,0.000328064,4.187,0,151.74
74,0.00242901,3.378,0,151.78
75,0.0025568,3.268,0,151.86
76,0.000333786,2.769,0,151.88
77,0.000394821,3.706,0,151.98
78,0.00465775,4.247,0,151.97
79,0.000461578,3.193,0,151.95
80,0.0901928,3.995,0,152.19
81,0.00515366,3.511,0,152.27
82,0.00102997,3.397,0,152.26
83,0.000835419,4.135,0,152.27
84,0.00522041,3.809,0,152.35
85,0.000542641,3.782,0,152.39
86,0.000603676,3.519,0,152.53
87,0.00473309,4.648,0,152.55
88,0.000603676,3.320,0,152.54
89,0.000400543,3.463,0,152.61
90,0.00465202,4.284,0,152.76
91,0.000200272,4.398,0,152.75
92,0.000328064,4.158,0,152.79
93,0.00459099,3.271,0,152.79
94,0.000400543,3.826,0,152.78
95,0.00445175,3.539,0,152.78
96,0.000200272,4.283,0,152.77
97,0.000528336,4.476,0,152.78
98,0.00452423,3.777,0,152.75
99,0.000261307,3.553,0,152.74
100,0.0101719,3.325,0,152.76
101,0.00249004,3.908,0,152.79
102,0.00249577,4.186,0,152.79
103,0.000394821,3.015,0,152.75
104,0.000267029,3.230,0,152.73
105,0.00465202,3.179,0,152.72
106,0.000400543,5.249,0,152.70
107,0.000461578,3.113,0,152.69
108,0.00452423,3.668,0,152.67
109,0.000404358,3.223,0,152.68
110,0.000610352,3.506,0,152.66
111,0.00479507,4.727,0,152.66
112,0.000677109,3.884,0,152.68
113,0.00253391,1.106,0,152.43
114,0.00216198,.092,0,152.45
