Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0.000183105,6.959,0,346.39
2,0.00251102,.051,0,346.41
3,0.00215626,.946,0,346.38
4,0.00182056,.041,0,346.34
5,0.00019455,.040,0,346.33
6,6.10352e-05,.082,0,346.34
7,0.00118828,.041,0,346.34
8,0.00425148,1.179,0,346.32
9,0.0150528,.184,0,346.31
10,0.0293694,.964,0,346.59
11,0.00419044,.061,0,346.59
12,0.00877571,1.528,0,346.60
13,0.000583649,21.834,0,349.80
14,0.00471306,20.498,0,352.01
15,0.000511169,26.723,0,352.79
16,0.000743866,24.008,0,355.67
17,0.00526237,27.521,0,357.91
18,0.000888824,21.558,0,358.22
19,0.00100517,26.498,0,360.22
20,0.00558662,24.304,0,361.58
21,0.0108986,25.384,0,362.93
22,0.00101662,28.236,0,364.63
23,0.00498104,21.997,0,365.79
24,0.00413799,25.928,0,366.94
25,0.001194,24.837,0,368.42
26,0.00322819,26.194,0,371.19
27,0.00327778,23.760,0,371.50
28,0.00101662,21.671,0,372.61
29,0.00144958,24.608,0,374.03
30,0.00513458,21.589,0,375.58
31,0.00143814,22.368,0,377.13
32,0.0014267,17.750,0,378.66
33,0.00539589,11.806,0,379.17
34,0.000650406,20.048,0,380.63
35,0.00104904,19.116,0,382.36
36,0.00476265,15.376,0,382.92
37,0.000711441,17.915,0,384.71
38,0.000908852,14.103,0,385.16
39,0.00497723,21.445,0,387.07
40,0.000792503,13.074,0,387.98
41,0.00508499,22.089,0,389.84
42,0.000522614,14.147,0,390.45
43,0.000793457,15.865,0,392.32
44,0.00484467,22.145,0,393.71
45,0.000787735,12.412,0,394.97
46,0.0012207,24.273,0,396.80
47,0.00560951,16.025,0,397.49
48,0.000999451,15.643,0,399.01
49,0.000938416,16.137,0,399.99
50,0.00475693,18.877,0,402.07
51,0.000694275,14.110,0,402.80
52,0.00265884,13.679,0,403.85
53,0.00494003,13.758,0,404.52
54,0.000956535,11.929,0,405.28
55,0.000383377,13.575,0,406.17
56,0.00483513,11.852,0,406.92
57,0.000766754,11.374,0,407.79
58,0.00457954,11.235,0,408.59
59,0.000133514,12.387,0,409.95
60,0.000322342,12.190,0,410.70
61,0.00445747,12.192,0,411.60
62,0.000444412,12.865,0,412.52
63,0.000516891,12.500,0,413.33
64,0.00241184,12.688,0,413.87
65,0.00235081,11.522,0,414.79
66,0.000871658,9.590,0,415.60
67,0.00401592,7.776,0,416.02
68,0.00235653,7.663,0,416.69
69,0.00031662,1.760,0,416.68
70,0.00496292,2.352,0,416.68
71,0.000577927,1.733,0,416.64
72,0.000383377,2.055,0,414.07
73,0.00425148,.418,0,414.09
74,0.000389099,1.737,0,414.01
75,0.000389099,.570,0,413.98
76,0.00445175,1.110,0,413.91
77,0.000705719,.887,0,413.88
78,0.0100327,.152,0,413.83
79,0.00419044,1.551,0,413.76
80,0.00019455,.071,0,413.75
81,0.000261307,.867,0,413.73
82,0.00437927,.642,0,413.68
83,0.000389099,2.989,0,413.64
84,0.000377655,.520,0,413.55
85,0.00451851,.490,0,413.50
86,0.000255585,2.662,0,413.48
87,0.00094986,1.846,0,413.45
88,0.00266743,3.614,0,413.39
89,0.00287533,.101,0,413.40
90,0.00019455,.946,0,413.33
91,0.00241756,1.479,0,413.29
92,0.00266743,.836,0,413.26
93,0.000383377,1.970,0,413.22
94,0.00439072,.101,0,413.21
95,0.000185013,.071,0,413.22
96,0,.081,0,413.18
97,0.00425148,.061,0,413.11
98,0.000127792,2.015,0,413.07
99,0.000127792,.071,0,413.05
100,0.00419044,.061,0,413.03
101,0.000188828,.631,0,412.98
102,6.67572e-05,1.668,0,412.95
103,0.00477409,1.743,0,412.99
104,0.00094986,2.218,0,412.94
105,0.000540733,1.393,0,412.88
106,0.0136452,.968,0,412.89
107,0.000255585,1.480,0,412.87
108,0.00509071,.101,0,412.84
109,0.00725746,.693,0,412.83
110,0.000444412,.101,0,412.78
111,0.000183105,.030,0,412.73
112,0.00209522,2.959,0,412.78
113,0.00299168,3.293,0,412.82
114,0.00094986,4.153,0,412.80
115,0.0011158,5.115,0,412.79
116,0.00548935,6.488,0,412.76
117,0.00125504,8.720,0,412.86
118,0.00617218,5.320,0,412.82
119,0.00112152,3.969,0,412.77
120,0.00019455,.620,0,412.71
121,0.00475693,2.952,0,412.68
122,0.00107765,3.323,0,412.68
123,0.000761032,1.038,0,412.71
124,0.00476837,1.057,0,412.63
125,0.000572205,1.710,0,412.62
126,0.000638962,3.598,0,412.51
127,0.0046463,.112,0,412.47
128,0.000450134,1.529,0,412.43
129,0.000188828,.091,0,412.43
130,0.00438499,3.040,0,412.45
131,0.000999451,2.036,0,412.43
132,0.000328064,2.263,0,412.44
133,0.00285625,1.436,0,412.46
134,0.0123835,1.856,0,412.46
135,0.000694275,2.901,0,412.47
136,0.00273418,1.224,0,412.47
137,0.00267315,3.485,0,412.56
138,0.00105476,.896,0,412.57
139,0.000255585,.061,0,412.57
140,0.000450134,1.535,0,412.60
141,0.000322342,.723,0,412.59
142,0.004879,2.765,0,412.68
143,0.000389099,1.435,0,412.65
144,0.000638962,1.691,0,412.73
145,0.00451279,2.387,0,412.74
146,0.00129986,1.386,0,412.79
147,0.000383377,1.130,0,412.80
148,0.00425148,.519,0,412.83
149,0.000389099,1.855,0,412.82
150,0.000786781,.560,0,412.82
151,0.00294304,2.353,0,412.85
152,0.00312614,2.541,0,412.84
153,0.000653267,1.396,0,412.84
154,0.00481796,3.901,0,412.85
155,0.000766754,1.807,0,412.84
156,0.000720978,1.100,0,412.85
157,0.00491142,1.497,0,412.84
158,0.000465393,6.740,0,412.89
159,0.00201035,3.443,0,412.86
160,0.00496864,2.393,0,412.86
161,0.000566483,.977,0,412.86
162,0.000383377,.855,0,412.91
163,0.00457954,1.721,0,413.00
164,0.000827789,2.386,0,412.97
165,0.00457382,1.600,0,413.05
166,0.000761032,2.643,0,413.03
167,0.000944138,4.047,0,413.11
168,0.005373,4.102,0,413.15
169,0.000455856,.773,0,413.16
170,0.000883102,2.944,0,413.17
171,0.00273418,2.099,0,413.18
172,0.0027895,2.852,0,413.21
173,0.000766754,3.773,0,413.26
174,0.00310612,3.867,0,413.28
175,0.00291729,2.823,0,413.26
176,0.000699997,1.315,0,413.29
177,0.000699997,4.480,0,413.34
178,0.00524521,5.151,0,413.47
179,0.00075531,2.498,0,413.54
180,0.00075531,3.038,0,413.28
181,0.00462914,2.489,0,413.43
182,0.000822067,6.419,0,413.56
183,0.00168228,2.727,0,413.61
184,0.00482941,.590,0,413.61
185,0.000261307,.326,0,413.61
186,0.000188828,.295,0,413.48
187,0.00473022,1.081,0,413.51
188,0.00496674,.132,0,413.50
189,0.00425148,.071,0,413.49
