Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0.00062561,7.773,0,344.45
2,0.00452805,.983,0,344.45
3,0.00160789,1.025,0,344.43
4,0.000337601,2.088,0,344.38
5,0.00551224,.922,0,344.38
6,6.10352e-05,.993,0,344.37
7,0.00125504,.970,0,344.37
8,0.00444603,1.012,0,344.36
9,0.00689316,1.532,0,344.34
10,0.0373878,1.837,0,344.68
11,0.00448418,.971,0,344.69
12,0.00195122,1.518,0,344.66
13,0.00742912,19.950,0,347.03
14,0.00497437,21.487,0,349.25
15,0.000717163,25.623,0,351.10
16,0.000522614,21.192,0,352.23
17,0.00478554,24.268,0,354.19
18,0.000844955,23.955,0,356.12
19,0.00078392,25.571,0,358.69
20,0.00547218,21.794,0,358.96
21,0.000516891,22.672,0,361.43
22,0.000656128,21.507,0,361.90
23,0.0025568,25.843,0,362.90
24,0.00378323,21.136,0,363.85
25,0.00243759,24.052,0,365.44
26,0.001688,22.982,0,367.33
27,0.00693893,22.499,0,368.61
28,0.00316429,25.609,0,369.95
29,0.00246239,20.380,0,371.48
30,0.00552368,21.485,0,374.71
31,0.00158882,26.613,0,375.45
32,0.001894,22.563,0,376.79
33,0.00571251,14.875,0,376.83
34,0.00115013,24.248,0,379.47
35,0.000822067,24.162,0,380.72
36,0.00641346,23.088,0,381.26
37,0.000827789,26.201,0,382.72
38,0.00522423,23.724,0,384.34
39,0.00139427,21.633,0,385.56
40,0.00182724,23.068,0,387.77
41,0.00589085,19.138,0,389.11
42,0.00115585,18.679,0,389.87
43,0.000967026,15.497,0,391.51
44,0.00328922,15.204,0,392.11
45,0.00287342,13.762,0,393.25
46,0.00102806,13.554,0,393.77
47,0.00294018,12.988,0,394.71
48,0.00292873,14.956,0,395.61
49,0.00137711,15.359,0,396.96
50,0.00103951,13.599,0,397.82
51,0.00521278,13.898,0,398.14
52,0.000844955,13.887,0,399.00
53,0.000844955,13.746,0,399.92
54,0.00489044,10.962,0,401.05
55,0.000839233,15.030,0,401.99
56,0.000583649,11.410,0,402.84
57,0.00509644,13.171,0,403.63
58,0.000717163,10.013,0,404.51
59,0.000133514,13.199,0,405.17
60,0.00445175,9.587,0,405.89
61,0.000528336,12.249,0,406.93
62,0.00576019,12.946,0,407.86
63,0.00080204,11.559,0,408.59
64,0.00101948,13.181,0,409.53
65,0.00451851,12.345,0,410.29
66,0.000267029,13.063,0,411.12
67,0.000522614,11.547,0,412.33
68,0.00228977,11.963,0,412.70
69,0.00287914,13.421,0,413.54
70,0.000772476,15.113,0,414.49
71,0.00269032,11.841,0,415.21
