Container,hits,invos,hit_rate,num_of_cache_keys
clever_tu,1,2,0.5,1
stoic_jemison,1,7,0.14285714285714285,3
intelligent_kilby,1,2,0.5,1
optimistic_wilson,1,2,0.5,1
pedantic_bhaskara,2,3,0.6666666666666666,1
dreamy_tesla,3,10,0.3,3
interesting_bhaskara,1,9,0.1111111111111111,6
stupefied_montalcini,6,7,0.8571428571428571,1
affectionate_almeida,1,3,0.3333333333333333,2
naughty_turing,1,12,0.08333333333333333,4
jovial_williams,1,6,0.16666666666666666,3
tender_swanson,2,6,0.3333333333333333,4
vibrant_gould,2,11,0.18181818181818182,5
condescending_bell,2,3,0.6666666666666666,1
ecstatic_wilson,1,15,0.06666666666666667,5
frosty_shtern,9,31,0.2903225806451613,4
sharp_northcutt,3,12,0.25,5
nice_dhawan,1,15,0.06666666666666667,4
tender_archimedes,1,3,0.3333333333333333,2
great_kepler,4,13,0.3076923076923077,3
serene_lehmann,3,24,0.125,4
fervent_wozniak,1,8,0.125,5
pedantic_khorana,2,25,0.08,7
tender_visvesvaraya,1,6,0.16666666666666666,3
wonderful_wozniak,4,8,0.5,2
wonderful_almeida,1,4,0.25,3
angry_elbakyan,1,2,0.5,1
eager_edison,1,3,0.3333333333333333,2
sleepy_blackwell,1,11,0.09090909090909091,3
mystifying_einstein,2,3,0.6666666666666666,1
recursing_wozniak,2,15,0.13333333333333333,4
nostalgic_hamilton,3,4,0.75,1
determined_galois,1,20,0.05,7
beautiful_bell,4,5,0.8,1
flamboyant_galois,2,3,0.6666666666666666,1
heuristic_elbakyan,1,55,0.01818181818181818,8
dazzling_rhodes,1,2,0.5,1
magical_mestorf,5,23,0.21739130434782608,5
thirsty_jackson,1,8,0.125,4
objective_haibt,4,10,0.4,2
sharp_volhard,1,4,0.25,3
musing_jennings,7,19,0.3684210526315789,4
blissful_rhodes,1,2,0.5,1
elated_wright,6,13,0.46153846153846156,4
nostalgic_fermi,2,3,0.6666666666666666,1
cool_rosalind,2,3,0.6666666666666666,1
laughing_joliot,1,32,0.03125,6
determined_raman,1,2,0.5,1
compassionate_napier,2,56,0.03571428571428571,7
friendly_keldysh,1,2,0.5,1
crazy_perlman,1,9,0.1111111111111111,3
unruffled_curran,1,3,0.3333333333333333,2
fervent_hermann,2,8,0.25,3
relaxed_goldstine,2,22,0.09090909090909091,8
elated_goldberg,1,40,0.025,7
gifted_benz,1,37,0.02702702702702703,3
beautiful_dhawan,1,62,0.016129032258064516,4
sharp_kepler,3,4,0.75,1
distracted_jennings,2,3,0.6666666666666666,1
crazy_murdock,1,13,0.07692307692307693,4
affectionate_cori,1,49,0.02040816326530612,8
nervous_mccarthy,1,13,0.07692307692307693,4
compassionate_wing,3,4,0.75,1
upbeat_easley,1,2,0.5,1
hungry_carson,2,3,0.6666666666666666,1
epic_solomon,1,2,0.5,1
stupefied_wescoff,1,2,0.5,1
stoic_diffie,1,2,0.5,1
zealous_wing,2,3,0.6666666666666666,1
busy_perlman,1,2,0.5,1
zealous_newton,2,3,0.6666666666666666,1
clever_banach,1,2,0.5,1
eager_meninsky,1,2,0.5,1
zealous_napier,1,2,0.5,1
mystifying_noyce,3,4,0.75,1
thirsty_pare,1,2,0.5,1
sweet_noether,1,2,0.5,1
practical_poincare,1,2,0.5,1
charming_aryabhata,1,2,0.5,1
blissful_goldstine1,1,2,0.5,1
interesting_maxwell,2,3,0.6666666666666666,1
dazzling_banach,1,2,0.5,1
confident_leavitt,1,2,0.5,1
modest_wilbur,1,2,0.5,1
intelligent_poincare,1,2,0.5,1
recursing_bouman,2,3,0.6666666666666666,1
cranky_mirzakhani,1,2,0.5,1
brave_carver,2,3,0.6666666666666666,1
quirky_ritchie,1,6,0.16666666666666666,3
intelligent_sinoussi,1,2,0.5,1
silly_borg,1,2,0.5,1
vigorous_shtern,1,6,0.16666666666666666,2
boring_rosalind,1,2,0.5,1
bold_turing,1,3,0.3333333333333333,2
vigorous_einstein,1,2,0.5,1
laughing_buck,1,2,0.5,1
epic_lamport,1,2,0.5,1
happy_bouman,1,2,0.5,1
nice_yalow,1,2,0.5,1
nervous_goldberg,1,2,0.5,1
nostalgic_chatelet,1,2,0.5,1
hungry_brahmagupta,1,3,0.3333333333333333,2
compassionate_mahavira,1,2,0.5,1
friendly_edison,1,2,0.5,1
sharp_hoover,1,2,0.5,1
elated_poitras,1,13,0.07692307692307693,4
quirky_khayyam,3,4,0.75,1
nice_agnesi,1,9,0.1111111111111111,2
frosty_dirac,1,3,0.3333333333333333,2
objective_brattain,1,4,0.25,2
heuristic_mestorf,2,11,0.18181818181818182,4
pedantic_fermi,1,7,0.14285714285714285,2
modest_chatelet,2,7,0.2857142857142857,2
affectionate_bartik,1,24,0.041666666666666664,4
intelligent_panini,1,3,0.3333333333333333,2
jovial_carver,1,5,0.2,2
confident_hopper,1,3,0.3333333333333333,2
thirsty_chandrasekhar,2,7,0.2857142857142857,2
cranky_carver,1,10,0.1,2
reverent_pasteur,1,4,0.25,3
hopeful_chaum,1,2,0.5,1
goofy_hermann,1,5,0.2,2
ecstatic_germain,12,13,0.9230769230769231,1
unruffled_chatterjee,3,6,0.5,2
modest_jang,1,3,0.3333333333333333,2
practical_engelbart,1,2,0.5,1
crazy_satoshi,1,6,0.16666666666666666,2
brave_morse,2,9,0.2222222222222222,2
laughing_goldstine,1,12,0.08333333333333333,2
unruffled_grothendieck,1,3,0.3333333333333333,2
wizardly_driscoll,1,4,0.25,2
tender_jepsen,1,6,0.16666666666666666,2
vigorous_jennings,1,2,0.5,1
eager_goldwasser,1,7,0.14285714285714285,3
romantic_poitras,1,3,0.3333333333333333,2
agitated_thompson,1,3,0.3333333333333333,2
gracious_greider,1,9,0.1111111111111111,2
awesome_hoover,2,4,0.5,2
zealous_ptolemy,1,4,0.25,2
modest_bartik,1,28,0.03571428571428571,3
objective_grothendieck,4,5,0.8,1
frosty_mendel,6,7,0.8571428571428571,1
distracted_swanson,3,4,0.75,1
nostalgic_poincare,1,4,0.25,2
priceless_galileo,2,3,0.6666666666666666,1
strange_tharp,1,4,0.25,2
charming_ganguly,1,5,0.2,3
charming_rhodes,1,18,0.05555555555555555,4
vibrant_proskuriakova,16,17,0.9411764705882353,1
intelligent_burnell,1,3,0.3333333333333333,2
quizzical_cannon,1,4,0.25,2
gallant_lamport,3,4,0.75,1
suspicious_raman,1,17,0.058823529411764705,4
adoring_wozniak,1,6,0.16666666666666666,3
cranky_keller,1,5,0.2,2
naughty_lewin,3,30,0.1,3
trusting_kapitsa,1,21,0.047619047619047616,3
zen_kilby,3,22,0.13636363636363635,4
awesome_greider,1,9,0.1111111111111111,4
naughty_benz,2,27,0.07407407407407407,4
friendly_banach,4,30,0.13333333333333333,5
blissful_archimedes,1,26,0.038461538461538464,3
sad_bartik,2,24,0.08333333333333333,4
adoring_euler,1,93,0.010752688172043012,7
modest_nightingale,1,7,0.14285714285714285,2
nervous_benz,1,8,0.125,2
objective_thompson,1,10,0.1,3
hungry_wozniak,2,21,0.09523809523809523,2
sleepy_merkle,1,5,0.2,2
relaxed_wozniak,1,27,0.037037037037037035,5
hardcore_benz,1,14,0.07142857142857142,2
nostalgic_wu,1,49,0.02040816326530612,5
determined_kilby,1,15,0.06666666666666667,2
agitated_shannon,1,4,0.25,2
elegant_wescoff,1,6,0.16666666666666666,2
