Container,hits,invos,hit_rate,num_of_cache_keys,memory_used(MB)
sweet_leavitt,1,2,0.5,1,1.546875
cranky_goldwasser,1,2,0.5,1,1.5537109375
thirsty_mahavira,4,5,0.8,2,4.63330078125
interesting_kilby,203,12542,0.01618561632913411,26,18.67529296875
tender_chatterjee,3,5,0.6,2,3.3818359375
wizardly_wright,5,6,0.8333333333333334,1,1.64453125
elastic_ptolemy,524,7312,0.07166301969365427,24,13.88916015625
crazy_antonelli,123,1328,0.09262048192771084,15,14.263671875
stoic_cannon,462,4367,0.10579345088161209,24,13.15234375
bold_mayer,4,7,0.5714285714285714,2,3.41455078125
epic_payne,3,5,0.6,2,3.3701171875
peaceful_nightingale,4,7,0.5714285714285714,2,3.4267578125
flamboyant_perlman,3,11,0.2727272727272727,3,6.462890625
kind_carver,3,18,0.16666666666666666,3,7.7451171875
awesome_moser,26,36,0.7222222222222222,5,7.9423828125
busy_agnesi,4,5,0.8,2,2.8125
heuristic_leakey,2,3,0.6666666666666666,1,1.5712890625
musing_faraday,2,6,0.3333333333333333,2,4.65283203125
modest_jemison,11,40,0.275,4,7.5009765625
serene_joliot,9,17,0.5294117647058824,3,8.3896484375
kind_easley,10,47,0.2127659574468085,5,12.18798828125
brave_dewdney,4,5,0.8,2,2.84423828125
condescending_bassi,1,2,0.5,1,1.5498046875
wonderful_meitner,3,4,0.75,2,3.36328125
interesting_leavitt,4,50,0.08,8,10.369140625
hopeful_merkle,8,12,0.6666666666666666,2,4.748046875
adoring_dewdney,5,6,0.8333333333333334,1,2.900390625
compassionate_jemison,8,13,0.6153846153846154,2,3.9697265625
priceless_lamarr,2,3,0.6666666666666666,1,1.578125
gallant_matsumoto,2,3,0.6666666666666666,1,1.57568359375
magical_diffie,4,6,0.6666666666666666,2,3.48095703125
vigilant_stonebraker,2,3,0.6666666666666666,1,1.57470703125
sharp_easley,2,3,0.6666666666666666,1,2.85009765625
amazing_saha,69,85,0.8117647058823529,14,9.5791015625
wizardly_bouman,4,6,0.6666666666666666,2,3.51806640625
pedantic_raman,30,15347,0.0019547794357203364,30,17.5625
nervous_pascal,5,8,0.625,2,3.39306640625
quizzical_pike,25,52,0.4807692307692308,4,7.21630859375
tender_pare,1,2,0.5,1,1.53515625
funny_hamilton,417,6891,0.060513713539399216,25,16.69970703125
frosty_bardeen,7,15,0.4666666666666667,3,6.47412109375
busy_lamport,6,22,0.2727272727272727,3,6.9072265625
brave_lumiere,283,1276,0.22178683385579936,20,11.02880859375
thirsty_bose,4,5,0.8,2,2.87109375
zealous_brahmagupta,4,12,0.3333333333333333,3,6.48388671875
stoic_mendeleev,9,181,0.049723756906077346,12,12.0947265625
compassionate_ride,2,3,0.6666666666666666,1,2.8642578125
intelligent_payne,3,18,0.16666666666666666,3,7.7314453125
vibrant_stonebraker,3,11,0.2727272727272727,3,6.47509765625
focused_tesla,19,25,0.76,3,4.87841796875
epic_williams,9,32,0.28125,4,9.1484375
trusting_lamport,1,2,0.5,1,1.53125
great_cohen,485,3198,0.15165728580362728,31,13.3837890625
eloquent_carson,7,85,0.08235294117647059,4,10.90478515625
hopeful_swartz,27,58,0.46551724137931033,6,7.32275390625
trusting_shaw,1,2,0.5,1,1.53076171875
wonderful_brahmagupta,6,9,0.6666666666666666,4,6.79541015625
reverent_mayer,1,2,0.5,1,1.5341796875
stoic_spence,3,4,0.75,1,4.1044921875
zealous_knuth,6,29,0.20689655172413793,4,8.68994140625
gallant_benz,24,71,0.3380281690140845,7,8.6298828125
awesome_lederberg,2,3,0.6666666666666666,1,6.6171875
interesting_williamson,6,7,0.8571428571428571,3,5.17236328125
tender_johnson,680,13703,0.04962416988980515,28,16.0654296875
fervent_nobel,575,3257,0.1765428308259134,28,13.4453125
objective_swartz,489,8375,0.05838805970149254,26,14.97998046875
reverent_golick,6,7,0.8571428571428571,4,7.7060546875
youthful_davinci,306,7012,0.043639475185396466,22,17.66259765625
sweet_lichterman,3,27,0.1111111111111111,3,8.984375
happy_meninsky,4,38,0.10526315789473684,6,9.837890625
keen_kilby,18,101,0.1782178217821782,9,11.74462890625
funny_babbage,13,14,0.9285714285714286,3,5.302734375
nostalgic_darwin,3,4,0.75,3,4.7099609375
kind_chaum,13,50,0.26,7,11.09130859375
infallible_austin,12,46,0.2608695652173913,5,9.43408203125
youthful_saha,8,9,0.8888888888888888,2,3.53125
stoic_satoshi,262,3036,0.0862977602108037,26,12.8369140625
zealous_lederberg,7,8,0.875,3,4.63671875
optimistic_shockley,4,51,0.0784313725490196,4,12.056640625
optimistic_chaum,18,33,0.5454545454545454,4,7.77294921875
determined_hellman,16,242,0.06611570247933884,7,19.75830078125
serene_swirles,9,39,0.23076923076923078,4,12.09619140625
pedantic_clarke,64,79,0.810126582278481,16,9.404296875
nice_joliot,4,58,0.06896551724137931,6,12.93408203125
admiring_knuth,210,4035,0.05204460966542751,20,17.6826171875
adoring_clarke,126,2311,0.05452185201211597,21,16.21240234375
compassionate_euclid,8,35,0.22857142857142856,5,8.79150390625
pensive_galois,641,23674,0.027076117259440736,30,18.73095703125
dazzling_taussig,172,1170,0.147008547008547,21,12.974609375
strange_mendel,27,45,0.6,9,8.544921875
dazzling_northcutt,20,82,0.24390243902439024,8,11.041015625
