Container,hits,invos,hit_rate,num_of_cache_keys,memory_used(MB)
dazzling_chandrasekhar,1,2,0.5,1,1.5380859375
unruffled_beaver,1,2,0.5,1,1.5400390625
peaceful_ardinghelli,1164,4988,0.23336006415396954,33,53.0146484375
elastic_cohen,11,16,0.6875,3,6.51708984375
crazy_mcnulty,16,32,0.5,4,8.00439453125
nice_goldwasser,8,45,0.17777777777777778,4,9.5556640625
vibrant_bhabha,2,3,0.6666666666666666,1,1.5625
hardcore_hamilton,11,108,0.10185185185185185,5,11.814453125
zen_lewin,4,6,0.6666666666666666,2,3.404296875
quirky_shamir,489,1032,0.4738372093023256,18,28.67724609375
adoring_buck,6,7,0.8571428571428571,2,4.642578125
trusting_herschel,2,3,0.6666666666666666,1,1.58447265625
zen_babbage,6,7,0.8571428571428571,3,5.15380859375
quizzical_hellman,69,148,0.46621621621621623,8,14.416015625
flamboyant_joliot,2,3,0.6666666666666666,1,2.87158203125
angry_visvesvaraya,22,85,0.25882352941176473,5,9.39111328125
pensive_poitras,4,28,0.14285714285714285,2,7.16845703125
competent_curie,7,34,0.20588235294117646,3,6.3388671875
intelligent_euclid,8,14,0.5714285714285714,3,7.716796875
flamboyant_grothendieck,528,1213,0.43528441879637264,22,35.48974609375
keen_sammet,14,38,0.3684210526315789,8,14.685546875
quirky_ramanujan,2,3,0.6666666666666666,1,2.86572265625
jovial_ptolemy,13,16,0.8125,3,5.25927734375
suspicious_merkle,4,18,0.2222222222222222,4,8.29248046875
flamboyant_dhawan,36,87,0.41379310344827586,7,12.06396484375
kind_kapitsa,3,4,0.75,2,3.37890625
serene_elbakyan,2,3,0.6666666666666666,1,1.56103515625
gifted_galileo,4,5,0.8,1,2.875
awesome_khayyam,3,4,0.75,1,2.86328125
great_mendel,2,3,0.6666666666666666,1,1.568359375
silly_bartik,16,34,0.47058823529411764,6,9.92431640625
upbeat_curie,5,6,0.8333333333333334,2,2.833984375
flamboyant_hawking,84,85,0.9882352941176471,14,19.51171875
quirky_spence,2,3,0.6666666666666666,1,1.57373046875
sweet_sinoussi,522,1082,0.4824399260628466,24,35.7490234375
loving_knuth,5,7,0.7142857142857143,2,3.40283203125
crazy_ishizaka,2,3,0.6666666666666666,1,1.55908203125
charming_lovelace,7,10,0.7,2,3.47119140625
gracious_panini,16,20,0.8,5,8.42626953125
objective_mcnulty,5,46,0.10869565217391304,5,13.9052734375
compassionate_neumann,4,5,0.8,2,5.91748046875
funny_liskov,3,14,0.21428571428571427,2,7.1953125
sleepy_greider,4,11,0.36363636363636365,4,6.984375
romantic_lalande,1093,2115,0.5167848699763593,32,46.671875
condescending_chaplygin,2,3,0.6666666666666666,1,1.57275390625
nervous_banzai,9,10,0.9,3,4.6767578125
serene_wright,26,96,0.2708333333333333,9,16.798828125
pensive_kirch,2,3,0.6666666666666666,1,4.12646484375
confident_visvesvaraya,2,3,0.6666666666666666,2,3.36083984375
sweet_galileo,2,3,0.6666666666666666,1,1.5810546875
pedantic_clarke,8,20,0.4,5,9.0703125
busy_banach,6,9,0.6666666666666666,2,3.49560546875
distracted_fermat,7,15,0.4666666666666667,5,8.3193359375
friendly_khayyam,14,28,0.5,4,7.712890625
hardcore_haibt,6,7,0.8571428571428571,1,1.66455078125
magical_cray,11,29,0.3793103448275862,6,11.0673828125
flamboyant_montalcini,8,19,0.42105263157894735,3,7.71923828125
wizardly_poincare,19,34,0.5588235294117647,4,7.86767578125
gallant_ritchie,3,6,0.5,3,5.1689453125
modest_hellman,2,3,0.6666666666666666,2,3.3662109375
inspiring_mcnulty,7,54,0.12962962962962962,4,13.28125
admiring_bouman,629,2401,0.2619741774260725,28,44.84619140625
sleepy_dijkstra,6,21,0.2857142857142857,5,9.82763671875
fervent_buck,982,3578,0.27445500279485746,27,47.15869140625
funny_germain,8,51,0.1568627450980392,6,12.01611328125
relaxed_napier,6,7,0.8571428571428571,3,5.208984375
competent_northcutt,1065,4859,0.2191809014200453,26,45.51171875
happy_ganguly,13,53,0.24528301886792453,6,14.43408203125
strange_galois,18,38,0.47368421052631576,4,7.66943359375
funny_black,6,11,0.5454545454545454,5,8.23779296875
stoic_buck,13,20,0.65,4,6.591796875
strange_babbage,3,4,0.75,3,4.60595703125
strange_swirles,3,7,0.42857142857142855,2,7.498046875
trusting_knuth,4,20,0.2,2,8.13720703125
crazy_booth,6,39,0.15384615384615385,5,11.3662109375
brave_proskuriakova,18,19,0.9473684210526315,5,7.59326171875
jolly_sutherland,15,51,0.29411764705882354,6,13.2236328125
silly_margulis,6,16,0.375,3,6.4833984375
kind_ganguly,20,114,0.17543859649122806,7,15.5107421875
distracted_poitras,15,95,0.15789473684210525,8,15.849609375
elegant_kapitsa,23,101,0.22772277227722773,7,14.982421875
affectionate_feistel,12,16,0.75,4,6.6328125
friendly_antonelli,78,79,0.9873417721518988,16,21.7275390625
focused_satoshi,16,43,0.37209302325581395,6,10.375
sharp_chaum,1195,5114,0.23367227219397732,31,58.19189453125
friendly_cartwright,1184,4915,0.24089521871820957,37,64.43212890625
relaxed_sinoussi,21,93,0.22580645161290322,10,18.48681640625
focused_shannon,46,143,0.32167832167832167,14,21.81005859375
