Container,hits,invos,hit_rate,num_of_cache_keys,memory_used(MB)
ecstatic_dubinsky,1,2,0.5,1,1.55126953125
silly_shannon,1,2,0.5,1,1.548828125
cool_rhodes,2,18,0.1111111111111111,2,7.216796875
wonderful_snyder,940,3788,0.2481520591341077,27,45.59716796875
admiring_hertz,8,18,0.4444444444444444,3,7.322265625
pedantic_merkle,2,3,0.6666666666666666,1,2.85205078125
sharp_shannon,776,3471,0.22356669547680783,21,35.53369140625
cranky_poincare,1231,3815,0.32267365661861075,31,49.44140625
clever_vaughan,688,3470,0.19827089337175793,25,42.2734375
clever_montalcini,5,6,0.8333333333333334,3,4.64501953125
pensive_payne,2,3,0.6666666666666666,1,1.5791015625
adoring_banach,12,16,0.75,4,8.09814453125
serene_napier,2,3,0.6666666666666666,1,1.57470703125
stoic_chatelet,3,4,0.75,2,3.3603515625
relaxed_solomon,239,1014,0.2357001972386588,21,33.16357421875
vibrant_ritchie,4,19,0.21052631578947367,2,8.4326171875
naughty_wiles,9,29,0.3103448275862069,3,8.97021484375
romantic_chandrasekhar,8,12,0.6666666666666666,3,6.5673828125
dreamy_gates,5,19,0.2631578947368421,2,7.2001953125
gracious_mclaren,5,10,0.5,3,4.67919921875
stupefied_austin,2,11,0.18181818181818182,2,5.9228515625
tender_kilby,3,4,0.75,2,7.1416015625
priceless_bhabha,1,2,0.5,1,1.552734375
lucid_wright,9,10,0.9,1,2.951171875
nice_kalam,2,3,0.6666666666666666,1,1.56298828125
brave_dhawan,4,18,0.2222222222222222,4,8.2353515625
determined_haibt,11,15,0.7333333333333333,6,9.53271484375
cranky_merkle,10,11,0.9090909090909091,3,8.60888671875
frosty_mahavira,7,11,0.6363636363636364,3,7.24560546875
goofy_lichterman,10,30,0.3333333333333333,5,9.52197265625
lucid_lamport,16,22,0.7272727272727273,4,7.89404296875
frosty_rhodes,2,3,0.6666666666666666,1,1.5576171875
stoic_hofstadter,8,9,0.8888888888888888,1,2.88623046875
nervous_bhabha,21,38,0.5526315789473685,4,8.22900390625
infallible_lumiere,2,3,0.6666666666666666,1,1.5712890625
relaxed_vaughan,1,2,0.5,1,1.52978515625
recursing_gould,3,4,0.75,2,3.32666015625
jolly_wozniak,3,4,0.75,1,7.89501953125
dreamy_engelbart,575,1347,0.4268745360059391,21,33.9921875
boring_edison,13,88,0.14772727272727273,5,15.419921875
inspiring_hodgkin,5,6,0.8333333333333334,2,5.94580078125
wonderful_dirac,1025,1962,0.5224260958205912,31,46.830078125
elated_stonebraker,14,19,0.7368421052631579,8,12.7578125
dreamy_dubinsky,15,16,0.9375,1,1.73193359375
flamboyant_driscoll,3,5,0.6,2,3.39892578125
flamboyant_greider,3,11,0.2727272727272727,3,6.47119140625
stupefied_varahamihira,6,13,0.46153846153846156,5,8.7607421875
romantic_stonebraker,3,17,0.17647058823529413,2,7.19775390625
practical_turing,2,3,0.6666666666666666,1,2.875
keen_dhawan,3,4,0.75,1,1.59521484375
gifted_ritchie,4,7,0.5714285714285714,3,5.1865234375
sad_germain,4,5,0.8,1,1.64404296875
hopeful_williams,13,17,0.7647058823529411,7,10.36279296875
angry_hoover,4,5,0.8,3,7.76611328125
bold_archimedes,10,15,0.6666666666666666,4,6.990234375
crazy_tesla,36,165,0.21818181818181817,10,17.41455078125
strange_gauss,591,1343,0.4400595681310499,22,33.06640625
unruffled_nobel,13,23,0.5652173913043478,4,8.24755859375
hardcore_poincare,8,9,0.8888888888888888,3,7.16796875
infallible_turing,12,32,0.375,4,7.97412109375
unruffled_turing,10,14,0.7142857142857143,3,5.1875
quizzical_goodall,10,16,0.625,3,6.02978515625
inspiring_yalow,39,100,0.39,11,18.69677734375
adoring_beaver,17,29,0.5862068965517241,5,8.44091796875
unruffled_shockley,5,6,0.8333333333333334,2,2.91162109375
determined_bohr,7,8,0.875,3,5.99560546875
inspiring_hamilton,3,38,0.07894736842105263,3,9.3017578125
awesome_jang,786,2537,0.30981474182104846,27,44.98974609375
reverent_euclid,10,153,0.06535947712418301,6,16.46142578125
zen_cartwright,3,27,0.1111111111111111,3,8.998046875
upbeat_haibt,4,5,0.8,3,5.16064453125
gallant_jepsen,797,3340,0.23862275449101797,29,48.6767578125
clever_jackson,3,18,0.16666666666666666,3,7.73193359375
frosty_brahmagupta,7,16,0.4375,3,5.69677734375
gracious_cori,2,3,0.6666666666666666,2,3.36865234375
dreamy_ishizaka,86,87,0.9885057471264368,15,20.6962890625
pedantic_borg,8,36,0.2222222222222222,4,8.337890625
clever_rosalind,17,41,0.4146341463414634,5,8.04345703125
intelligent_swartz,15,48,0.3125,6,9.80517578125
crazy_northcutt,17,107,0.1588785046728972,7,14.71923828125
quirky_shirley,9,67,0.13432835820895522,7,14.63623046875
stoic_mclaren,12,15,0.8,3,4.7666015625
loving_cerf,4,27,0.14814814814814814,3,11.5146484375
jovial_noether,6,15,0.4,3,6.40966796875
sleepy_blackburn,9,209,0.0430622009569378,6,20.08740234375
gracious_pare,20,40,0.5,5,9.1171875
loving_hellman,78,79,0.9873417721518988,16,22.02197265625
heuristic_chaum,15,83,0.18072289156626506,5,11.4248046875
focused_noether,7,19,0.3684210526315789,4,12.09521484375
optimistic_gauss,8,105,0.0761904761904762,5,14.2919921875
elated_beaver,7,28,0.25,6,10.57373046875
upbeat_cerf,45,148,0.30405405405405406,10,21.3251953125
brave_snyder,16,182,0.08791208791208792,11,23.07861328125
frosty_bohr,1233,4844,0.254541701073493,35,61.9775390625
nervous_williamson,11,22,0.5,7,10.93603515625
