Container,hits,invos,hit_rate,num_of_cache_keys
competent_banzai,1,13,0.07692307692307693,6
inspiring_wescoff,1,2,0.5,1
agitated_gould,1,3,0.3333333333333333,2
sad_nash,2,3,0.6666666666666666,1
bold_albattani,1,7,0.14285714285714285,4
zen_austin,1,7,0.14285714285714285,5
goofy_lehmann,1,25,0.04,6
jovial_allen,3,4,0.75,1
zen_ellis,4,9,0.4444444444444444,3
wonderful_gauss,1,37,0.02702702702702703,4
flamboyant_buck,2,10,0.2,3
great_yonath,1,9,0.1111111111111111,3
bold_wu,1,2,0.5,1
exciting_williamson,1,15,0.06666666666666667,4
hardcore_knuth,2,15,0.13333333333333333,4
adoring_turing,1,4,0.25,3
hopeful_noether,2,4,0.5,2
quizzical_mayer,3,23,0.13043478260869565,3
hungry_hamilton,1,2,0.5,1
intelligent_cartwright,1,6,0.16666666666666666,4
wizardly_booth,1,7,0.14285714285714285,5
affectionate_mahavira,1,3,0.3333333333333333,2
cranky_bartik,1,3,0.3333333333333333,2
happy_mclean,1,2,0.5,1
pedantic_leakey,4,25,0.16,6
serene_agnesi,6,13,0.46153846153846156,4
awesome_bardeen,1,12,0.08333333333333333,5
youthful_meninsky,1,2,0.5,1
sad_burnell,2,18,0.1111111111111111,3
upbeat_proskuriakova,1,14,0.07142857142857142,4
lucid_chaplygin,1,89,0.011235955056179775,6
dazzling_panini,1,2,0.5,1
romantic_pare,1,22,0.045454545454545456,3
vigilant_tesla,2,67,0.029850746268656716,8
zealous_chaum,2,24,0.08333333333333333,5
reverent_cartwright,1,16,0.0625,3
crazy_elgamal,3,4,0.75,1
gracious_diffie,1,2,0.5,1
gallant_mclean,1,2,0.5,1
dazzling_turing,2,3,0.6666666666666666,1
pensive_brahmagupta,3,5,0.6,2
practical_almeida,2,20,0.1,4
stupefied_goldstine,1,12,0.08333333333333333,5
exciting_rosalind,1,18,0.05555555555555555,8
suspicious_lehmann,1,6,0.16666666666666666,3
strange_lovelace,1,25,0.04,6
vibrant_sammet,1,27,0.037037037037037035,8
blissful_lederberg,1,4,0.25,2
quirky_jennings,1,2,0.5,1
happy_villani,1,14,0.07142857142857142,4
reverent_newton,1,11,0.09090909090909091,2
practical_clarke,7,66,0.10606060606060606,7
great_ramanujan,1,6,0.16666666666666666,2
brave_mcnulty,1,77,0.012987012987012988,6
sharp_heyrovsky,2,12,0.16666666666666666,6
xenodochial_ellis,1,9,0.1111111111111111,4
elegant_hugle,2,3,0.6666666666666666,1
xenodochial_yonath,3,12,0.25,3
lucid_hertz,6,7,0.8571428571428571,1
keen_khorana,2,3,0.6666666666666666,1
busy_dhawan,5,8,0.625,3
nervous_archimedes,3,4,0.75,1
elegant_agnesi,7,76,0.09210526315789473,7
practical_brahmagupta3,3,6,0.5,3
happy_euclid,4,5,0.8,1
dreamy_proskuriakova,3,60,0.05,6
stoic_kapitsa,1,2,0.5,1
interesting_ganguly,1,32,0.03125,2
funny_satoshi,1,22,0.045454545454545456,6
elated_burnell,3,4,0.75,1
agitated_ellis,4,31,0.12903225806451613,5
xenodochial_goodall,1,498,0.002008032128514056,15
nervous_diffie,1,877,0.0011402508551881414,23
busy_sinoussi,1,2,0.5,1
bold_shannon,1,633,0.001579778830963665,23
youthful_turing,3,186,0.016129032258064516,9
fervent_tu,3,49,0.061224489795918366,8
festive_torvalds,1,2725,0.0003669724770642202,22
exciting_chaum,1,374,0.00267379679144385,12
