Container,hits,invos,hit_rate,num_of_cache_keys,memory_used(MB)
admiring_herschel,1,2,0.5,1,1.53466796875
sweet_knuth,1,2,0.5,1,1.54443359375
crazy_nash,7,8,0.875,2,3.4599609375
charming_keldysh,4,5,0.8,1,2.841796875
practical_panini,8,9,0.8888888888888888,1,1.7080078125
charming_mcnulty,10,13,0.7692307692307693,2,4.7451171875
magical_jemison,7,14,0.5,3,5.224609375
mystifying_swartz,5,15,0.3333333333333333,3,6.44580078125
elegant_banach,235,1468,0.1600817438692098,15,12.4453125
loving_dhawan,551,9131,0.060343883473880186,24,13.705078125
recursing_vaughan,2,3,0.6666666666666666,1,1.57763671875
happy_volhard,3,5,0.6,2,3.37744140625
eloquent_goldwasser,8,19,0.42105263157894735,4,7.77197265625
unruffled_kepler,138,685,0.20145985401459854,15,11.77783203125
crazy_diffie,500,7649,0.06536802196365538,21,13.35693359375
sleepy_almeida,12,47,0.2553191489361702,5,8.08935546875
silly_wozniak,613,17478,0.03507266277606134,28,18.5517578125
interesting_heisenberg,611,9197,0.06643470696966403,25,15.162109375
exciting_kilby,2,3,0.6666666666666666,1,1.5546875
intelligent_lederberg,9,11,0.8181818181818182,3,4.72314453125
charming_chatterjee,4,5,0.8,1,1.62158203125
charming_edison,5,6,0.8333333333333334,1,1.646484375
nostalgic_turing,5,22,0.22727272727272727,7,8.32373046875
wonderful_mclean,2,3,0.6666666666666666,1,2.8681640625
objective_bartik,14,26,0.5384615384615384,3,5.3046875
modest_chebyshev,10,13,0.7692307692307693,4,6.5556640625
loving_wilbur,2,3,0.6666666666666666,1,1.5751953125
dazzling_mayer,5,6,0.8333333333333334,1,2.8955078125
wizardly_mcclintock,3,4,0.75,1,1.57958984375
cranky_matsumoto,116,799,0.14518147684605756,14,12.45263671875
brave_mcnulty,7,8,0.875,2,3.466796875
practical_blackwell,5,9,0.5555555555555556,3,5.29541015625
tender_haslett,7,30,0.23333333333333334,4,7.9853515625
musing_hopper,69,85,0.8117647058823529,14,8.3818359375
pensive_wozniak,5,9,0.5555555555555556,2,3.44287109375
ecstatic_yalow,10,20,0.5,5,7.57763671875
epic_galois,625,4082,0.1531112199902009,30,14.0029296875
busy_goldstine,3,4,0.75,1,1.58984375
objective_matsumoto,3,4,0.75,2,3.35546875
bold_perlman,2,3,0.6666666666666666,1,1.5810546875
pensive_mclean,3,38,0.07894736842105263,3,9.19677734375
vigorous_hugle,1,2,0.5,1,1.53369140625
flamboyant_faraday,5,15,0.3333333333333333,4,7.79931640625
cranky_hugle,13,23,0.5652173913043478,5,8.10205078125
youthful_mirzakhani,6,14,0.42857142857142855,2,7.20849609375
awesome_torvalds,3,4,0.75,1,1.58154296875
eloquent_dhawan,7,17,0.4117647058823529,5,8.37841796875
intelligent_moser,398,7627,0.05218303395830602,27,15.83642578125
competent_brown,307,1826,0.16812705366922234,20,12.68798828125
frosty_meitner,2,3,0.6666666666666666,1,4.11376953125
epic_shannon,16,46,0.34782608695652173,7,10.013671875
epic_golick,1,2,0.5,1,1.55126953125
xenodochial_hodgkin,6,9,0.6666666666666666,2,3.4794921875
clever_hugle,8,20,0.4,4,8.3427734375
reverent_leavitt,473,3683,0.12842791202823786,26,12.7685546875
keen_visvesvaraya,3,4,0.75,1,1.61474609375
optimistic_ptolemy,18,42,0.42857142857142855,5,9.4560546875
gallant_bassi,180,1824,0.09868421052631579,21,13.57275390625
beautiful_hellman,4,27,0.14814814814814814,4,9.5302734375
hopeful_torvalds,3,4,0.75,1,2.87548828125
jolly_williamson,16,25,0.64,5,8.42333984375
adoring_feistel,2,18,0.1111111111111111,2,7.17724609375
focused_newton,12,33,0.36363636363636365,7,9.24267578125
magical_ptolemy,6,22,0.2727272727272727,4,8.275390625
distracted_dhawan,856,21466,0.03987701481412466,29,16.91748046875
cranky_fermi,634,13505,0.046945575712699,27,15.22021484375
inspiring_albattani,6,34,0.17647058823529413,5,7.54052734375
gifted_meninsky,24,95,0.25263157894736843,7,11.04150390625
great_hypatia,2,3,0.6666666666666666,2,2.78271484375
fervent_elion,6,7,0.8571428571428571,4,6.57421875
adoring_gauss,4,49,0.08163265306122448,4,12.0498046875
zen_ganguly,5,24,0.20833333333333334,4,10.80078125
angry_ellis,8,17,0.47058823529411764,3,7.00537109375
mystifying_napier,3,4,0.75,3,4.58447265625
heuristic_edison,3,10,0.3,2,7.93408203125
blissful_agnesi,8,13,0.6153846153846154,2,3.4755859375
hardcore_jemison,10,11,0.9090909090909091,3,5.93310546875
nostalgic_wozniak,16,42,0.38095238095238093,6,7.72265625
recursing_gould,5,29,0.1724137931034483,4,9.5068359375
musing_varahamihira,4,99,0.04040404040404041,6,14.796875
eager_euclid,10,16,0.625,3,6.5126953125
brave_pike,13,44,0.29545454545454547,7,12.72265625
hopeful_williams,66,79,0.8354430379746836,16,8.326171875
elastic_goldwasser,12,17,0.7058823529411765,4,7.0478515625
goofy_ptolemy,19,93,0.20430107526881722,7,9.97412109375
affectionate_ramanujan,2,3,0.6666666666666666,1,6.5419921875
flamboyant_wescoff,840,17418,0.04822597313124354,31,20.16943359375
serene_torvalds,585,8423,0.06945268906565356,36,16.76416015625
upbeat_grothendieck,5,83,0.060240963855421686,7,13.3154296875
friendly_ride,16,114,0.14035087719298245,8,12.8779296875
