Container,hits,invos,hit_rate,num_of_cache_keys
cool_leavitt,1,2,0.5,1
mystifying_beaver,3,7,0.42857142857142855,2
eager_shockley,4,5,0.8,2
quirky_buck,5,7,0.7142857142857143,4
laughing_lamport,4,7,0.5714285714285714,3
awesome_hypatia,2,3,0.6666666666666666,2
blissful_stonebraker,11,18,0.6111111111111112,6
zen_mendel,4,12,0.3333333333333333,3
nice_satoshi,3,4,0.75,1
lucid_noyce,8,9,0.8888888888888888,4
laughing_kalam,2,3,0.6666666666666666,2
keen_sutherland,10,11,0.9090909090909091,4
brave_pasteur,4,9,0.4444444444444444,3
boring_hermann,3,6,0.5,3
goofy_dirac,9,37,0.24324324324324326,5
fervent_easley,4,5,0.8,3
magical_aryabhata,13,16,0.8125,5
reverent_chatelet,1,2,0.5,1
keen_mendel,2,3,0.6666666666666666,1
focused_snyder,6,43,0.13953488372093023,5
determined_mclean,15,18,0.8333333333333334,4
nostalgic_poitras,7,8,0.875,2
laughing_golick,6,10,0.6,3
youthful_carver,8,15,0.5333333333333333,4
laughing_davinci,1,2,0.5,1
exciting_leavitt,2,3,0.6666666666666666,1
mystifying_jones,8,9,0.8888888888888888,2
zealous_bohr,1,2,0.5,1
frosty_dubinsky,11,12,0.9166666666666666,4
hardcore_ganguly,4,13,0.3076923076923077,4
clever_hoover,7,22,0.3181818181818182,5
peaceful_kepler,3,4,0.75,2
lucid_mclean,9,10,0.9,2
peaceful_jennings,32,42,0.7619047619047619,8
nervous_diffie,1,2,0.5,1
wonderful_curie,15,18,0.8333333333333334,9
elated_grothendieck,1,2,0.5,1
eager_shamir,1,2,0.5,1
sad_yonath,2,3,0.6666666666666666,1
naughty_curie,1,2,0.5,1
lucid_gauss,2,3,0.6666666666666666,2
vigorous_mestorf,7,8,0.875,3
focused_euler,2,3,0.6666666666666666,2
affectionate_hofstadter,8,17,0.47058823529411764,6
nice_northcutt,18,39,0.46153846153846156,9
competent_bardeen,2,3,0.6666666666666666,2
sharp_jackson,9,16,0.5625,4
recursing_fermi,9,10,0.9,4
sharp_brown,9,41,0.21951219512195122,6
charming_darwin,10,100,0.1,6
mystifying_hypatia,7,12,0.5833333333333334,4
happy_wilson,7,8,0.875,3
loving_chaplygin,16,19,0.8421052631578947,5
cool_torvalds,29,64,0.453125,9
clever_aryabhata,15,19,0.7894736842105263,5
crazy_bardeen,2,3,0.6666666666666666,2
boring_bardeen,2,3,0.6666666666666666,2
busy_pasteur,2,3,0.6666666666666666,1
charming_engelbart,2,3,0.6666666666666666,2
beautiful_bardeen,7,8,0.875,2
hardcore_goldwasser,15,16,0.9375,7
brave_nash,27,47,0.574468085106383,8
zealous_ride,2,3,0.6666666666666666,1
infallible_tharp,2,3,0.6666666666666666,1
quirky_einstein,1,2,0.5,1
compassionate_lumiere,2,3,0.6666666666666666,1
great_roentgen,1,2,0.5,1
reverent_goldwasser,9,12,0.75,2
exciting_jennings,2,3,0.6666666666666666,1
kind_varahamihira,4,10,0.4,2
compassionate_montalcini,13,68,0.19117647058823528,6
elegant_swirles,2,3,0.6666666666666666,1
crazy_northcutt,2,3,0.6666666666666666,1
compassionate_black,3,5,0.6,2
gifted_chaum,14,23,0.6086956521739131,6
clever_gauss,9,10,0.9,5
sleepy_matsumoto,25,40,0.625,4
cranky_snyder,5,6,0.8333333333333334,3
blissful_matsumoto,22,58,0.3793103448275862,8
great_engelbart,29,107,0.27102803738317754,8
determined_wilson,2,3,0.6666666666666666,2
xenodochial_leavitt,2,3,0.6666666666666666,1
naughty_shamir,3,9,0.3333333333333333,2
upbeat_goldberg,3,4,0.75,2
trusting_ritchie,1,2,0.5,1
xenodochial_blackwell,6,7,0.8571428571428571,4
stoic_davinci,49,50,0.98,10
zealous_kowalevski,264,405,0.6518518518518519,21
competent_albattani,203,210,0.9666666666666667,14
zen_mclaren,1,2,0.5,1
nifty_montalcini,795,1835,0.4332425068119891,21
determined_hopper,853,2330,0.3660944206008584,31
stupefied_noether,1,2,0.5,1
blissful_spence,3,4,0.75,2
sleepy_benz,2429,18383,0.132132948920198,38
magical_nobel,1575,13651,0.11537616291846751,36
dreamy_varahamihira,2108,23618,0.08925395884494877,41
elegant_jennings,1240,3593,0.3451155023657111,36
awesome_noyce,1657,4527,0.36602606582725866,36
vibrant_jackson,800,1419,0.5637773079633545,31
blissful_zhukovsky5,1382,10294,0.13425296289100447,30
infallible_shamir,620,1545,0.40129449838187703,23
nervous_mcnulty,1170,6705,0.174496644295302,33
youthful_dubinsky,500,2504,0.19968051118210864,24
competent_borg,1776,17367,0.1022629124201071,42
interesting_leakey,1497,7380,0.20284552845528456,38
sweet_saha,142,143,0.993006993006993,18
suspicious_yonath,145,146,0.9931506849315068,16
