Container,hits,invos,hit_rate,num_of_cache_keys,memory_used(MB)
dreamy_mcclintock,1,2,0.5,1,1.54931640625
fervent_brown,1,2,0.5,1,1.53271484375
optimistic_yonath,1,2,0.5,1,1.5361328125
tender_khayyam,2,3,0.6666666666666666,1,1.5595703125
magical_tharp,436,9666,0.04510655907303952,21,14.06201171875
sharp_leakey,480,8524,0.05631159080244017,22,14.3466796875
exciting_cohen,2,3,0.6666666666666666,1,1.56884765625
elastic_poincare,1001,15977,0.06265256305939788,30,13.23486328125
nifty_wozniak,287,5345,0.05369504209541628,20,13.5078125
hungry_northcutt,61,250,0.244,9,8.5791015625
thirsty_burnell,183,1435,0.12752613240418118,17,9.82763671875
dreamy_jepsen,264,3759,0.07023144453312051,18,11.3681640625
hardcore_bose,11,39,0.28205128205128205,3,7.79345703125
hopeful_johnson,75,683,0.10980966325036604,11,11.8125
elated_bartik,12,17,0.7058823529411765,2,6.740234375
xenodochial_wilbur,1,2,0.5,1,1.541015625
sleepy_gagarin,3,4,0.75,1,4.09423828125
magical_spence,2,3,0.6666666666666666,1,1.5693359375
condescending_pare,2,3,0.6666666666666666,2,3.357421875
sleepy_gauss,4,5,0.8,3,4.43017578125
cranky_golick,6,17,0.35294117647058826,4,7.68896484375
infallible_poitras,2,3,0.6666666666666666,1,2.86474609375
vibrant_engelbart,11,14,0.7857142857142857,3,5.8349609375
quirky_feistel,4,5,0.8,1,1.60302734375
interesting_chatelet,354,4426,0.07998192498870312,21,10.27392578125
compassionate_snyder,130,2654,0.048982667671439335,16,13.11279296875
trusting_mclean,3,9,0.3333333333333333,2,4.68017578125
angry_archimedes,299,4571,0.06541238241085101,20,12.13037109375
interesting_khorana,2,3,0.6666666666666666,1,1.5810546875
vigorous_dijkstra,12,16,0.75,3,4.85009765625
stoic_aryabhata,1,2,0.5,1,1.5146484375
musing_montalcini,8,10,0.8,2,8.51904296875
nervous_margulis,10,18,0.5555555555555556,3,8.30517578125
infallible_wing,7,8,0.875,2,3.24609375
