Container,hits,invos,hit_rate,num_of_cache_keys
hungry_tharp,3,6,0.5,3
priceless_liskov,2,3,0.6666666666666666,2
epic_mahavira,4,5,0.8,3
awesome_cori,3,4,0.75,2
great_kirch,5,6,0.8333333333333334,4
bold_engelbart,5,6,0.8333333333333334,3
sweet_buck,2,3,0.6666666666666666,2
goofy_hertz,2,3,0.6666666666666666,2
upbeat_meninsky,11,19,0.5789473684210527,3
admiring_hamilton,11,12,0.9166666666666666,6
nice_archimedes,5,6,0.8333333333333334,2
youthful_williamson,9,10,0.9,3
gallant_jones,8,9,0.8888888888888888,3
practical_sinoussi,4,8,0.5,3
naughty_sanderson,2,3,0.6666666666666666,2
strange_leavitt,4,29,0.13793103448275862,4
practical_lewin,1,2,0.5,1
determined_ishizaka,8,13,0.6153846153846154,3
angry_heisenberg,5,12,0.4166666666666667,3
compassionate_kapitsa,8,9,0.8888888888888888,4
recursing_lewin,2,3,0.6666666666666666,2
keen_raman,10,40,0.25,7
beautiful_borg,1,2,0.5,1
intelligent_chebyshev,8,9,0.8888888888888888,3
musing_payne,5,6,0.8333333333333334,1
vigorous_aryabhata,4,11,0.36363636363636365,4
heuristic_lewin,7,8,0.875,1
fervent_shannon,7,8,0.875,3
awesome_poincare,8,9,0.8888888888888888,5
relaxed_booth,11,47,0.23404255319148937,8
pensive_engelbart,14,22,0.6363636363636364,6
gallant_dewdney,13,14,0.9285714285714286,5
amazing_goldstine,13,16,0.8125,3
modest_mclaren,5,6,0.8333333333333334,3
wonderful_jepsen,39,57,0.6842105263157895,9
youthful_carson,17,19,0.8947368421052632,5
amazing_meninsky,4,5,0.8,2
quirky_napier,7,8,0.875,3
vigilant_galileo,5,6,0.8333333333333334,3
frosty_jepsen,10,11,0.9090909090909091,3
elastic_roentgen,3,4,0.75,2
zen_shannon,3,4,0.75,2
wizardly_robinson,7,46,0.15217391304347827,6
crazy_taussig,3,4,0.75,3
gracious_greider,2,3,0.6666666666666666,1
adoring_bhabha,3,4,0.75,1
clever_haibt,3,87,0.034482758620689655,7
hardcore_lichterman,20,41,0.4878048780487805,8
vigilant_mendeleev,9,26,0.34615384615384615,4
eloquent_haslett,3,4,0.75,2
eager_jackson,12,25,0.48,5
compassionate_sinoussi,14,52,0.2692307692307692,8
amazing_ride,29,51,0.5686274509803921,7
kind_lamport,11,11,1.0,5
funny_einstein,4,5,0.8,2
loving_volhard,15,20,0.75,5
pensive_jang,8,9,0.8888888888888888,3
