Container,hits,invos,hit_rate,num_of_cache_keys,memory_used(MB)
hardcore_euclid,1,2,0.5,1,1.5546875
vigorous_moore,1,2,0.5,1,1.55078125
stoic_meitner,9,2410,0.0037344398340248964,17,17.283203125
gallant_lalande,59,19034,0.003099716297152464,26,20.3505859375
xenodochial_hawking,12,12267,0.0009782342871117633,26,18.96435546875
wizardly_mendel,16,2538,0.006304176516942475,20,15.462890625
suspicious_nash,8,9,0.8888888888888888,2,2.9345703125
nervous_napier,1,2,0.5,1,1.54248046875
intelligent_shamir,2,6,0.3333333333333333,2,4.65673828125
sleepy_hofstadter,7,160,0.04375,7,14.13232421875
pedantic_keldysh,6,8258,0.0007265681763138775,27,18.00732421875
blissful_panini,5,6,0.8333333333333334,1,2.89990234375
crazy_colden,3,4,0.75,2,3.3515625
peaceful_bell,63,11146,0.005652251928943118,25,22.6171875
modest_mirzakhani,31,85,0.36470588235294116,5,8.42431640625
condescending_ellis,5,6,0.8333333333333334,2,3.435546875
nifty_wozniak,27,5948,0.004539340954942838,26,15.65478515625
angry_satoshi,2,3,0.6666666666666666,1,2.86328125
reverent_faraday,20,40,0.5,8,14.10107421875
determined_rosalind,2,3,0.6666666666666666,1,2.8681640625
hardcore_margulis,8,16,0.5,3,5.31103515625
xenodochial_franklin,11,27,0.4074074074074074,5,9.123046875
peaceful_chandrasekhar,18,33,0.5454545454545454,6,10.45947265625
loving_hugle,2,3,0.6666666666666666,2,3.36376953125
practical_ride,15,2789,0.005378271782000717,15,16.65966796875
admiring_snyder,2,3,0.6666666666666666,1,1.55908203125
modest_lichterman,13,5854,0.002220703792278784,31,15.98193359375
goofy_williamson,2,3,0.6666666666666666,1,1.5576171875
friendly_lewin,8,26,0.3076923076923077,3,6.54638671875
friendly_wiles,5,6,0.8333333333333334,3,8.4169921875
sweet_mclean,2,3,0.6666666666666666,2,3.34765625
dreamy_kare,7,15,0.4666666666666667,4,7.34326171875
keen_torvalds,5,709,0.007052186177715092,13,16.224609375
boring_elbakyan,12,17,0.7058823529411765,3,5.31201171875
determined_margulis,14,16,0.875,5,8.31201171875
angry_northcutt,4,5,0.8,1,2.85693359375
optimistic_driscoll,4,6,0.6666666666666666,2,3.39990234375
cranky_austin,11,6778,0.001622897609914429,27,17.6572265625
priceless_tharp,3,4,0.75,1,1.61181640625
happy_elbakyan,1,2,0.5,1,1.54443359375
modest_black,4,5,0.8,1,1.6298828125
festive_cerf,4,12,0.3333333333333333,2,4.67919921875
flamboyant_proskuriakova,7,12,0.5833333333333334,4,7.02734375
unruffled_archimedes,10,36,0.2777777777777778,5,9.005859375
unruffled_visvesvaraya,11,6157,0.0017865843755075525,26,16.37353515625
lucid_hamilton,4,12,0.3333333333333333,2,4.6767578125
blissful_wing,44,15803,0.002784281465544517,32,20.99169921875
brave_swartz,1,2,0.5,1,1.5224609375
sad_herschel,33,1622,0.020345252774352653,16,17.24853515625
quizzical_kalam,9,10,0.9,2,4.123046875
festive_yonath,5,11,0.45454545454545453,2,8.45654296875
priceless_heyrovsky,9,7610,0.0011826544021024967,32,15.39453125
boring_panini,10,68,0.14705882352941177,7,11.2041015625
flamboyant_kalam,6,35,0.17142857142857143,5,9.07568359375
zealous_wilbur,2,3,0.6666666666666666,1,7.86474609375
adoring_mirzakhani,7,88,0.07954545454545454,16,10.78271484375
happy_shannon,25,62,0.4032258064516129,6,11.2568359375
loving_panini,9,30,0.3,5,9.67626953125
angry_engelbart,3,4,0.75,2,3.365234375
upbeat_noyce,10,24,0.4166666666666667,5,9.06396484375
nostalgic_dirac,6,40,0.15,4,13.11865234375
upbeat_chaplygin,18,182,0.0989010989010989,13,11.865234375
strange_visvesvaraya,48,13654,0.003515453347004541,26,18.96044921875
elated_haibt,23,79,0.2911392405063291,16,10.42724609375
festive_wilbur,11,16,0.6875,4,6.6298828125
thirsty_zhukovsky,8,57,0.14035087719298245,5,13.85595703125
jovial_yalow,15,45,0.3333333333333333,6,10.21728515625
intelligent_nightingale,5,15,0.3333333333333333,6,11.4765625
crazy_easley,6,5329,0.001125914805779696,27,16.63623046875
jovial_goodall,5,1568,0.0031887755102040817,14,28.88525390625
fervent_hermann,19,30,0.6333333333333333,6,14.21630859375
modest_wilson,21,29,0.7241379310344828,7,11.1474609375
elated_liskov,5,94,0.05319148936170213,8,12.85400390625
