Container,hits,invos,hit_rate,num_of_cache_keys,memory_used(MB)
sharp_meninsky,1,2,0.5,1,1.5478515625
epic_diffie,1,2,0.5,1,1.5439453125
cool_solomon,73,74,0.9864864864864865,13,18.1748046875
interesting_galois,10,15,0.6666666666666666,3,5.3017578125
wonderful_mclaren,5,10,0.5,3,5.18701171875
jolly_driscoll,2,3,0.6666666666666666,1,1.583984375
naughty_dewdney,271,1024,0.2646484375,17,23.5830078125
clever_banach,734,3675,0.19972789115646258,22,27.6533203125
elegant_swartz,670,5462,0.1226656902233614,25,27.4482421875
friendly_sinoussi,7,8,0.875,1,1.6943359375
recursing_faraday,11,17,0.6470588235294118,4,8.37744140625
eloquent_germain,2,3,0.6666666666666666,1,1.58837890625
great_haibt,11,20,0.55,3,6.4677734375
peaceful_hertz,4,5,0.8,1,2.83203125
wonderful_sanderson,260,1287,0.20202020202020202,18,26.8984375
tender_wing,1,2,0.5,1,1.55322265625
relaxed_edison,7,12,0.5833333333333334,3,5.19580078125
quizzical_stonebraker,468,1253,0.37350359138068634,19,24.19970703125
recursing_almeida,922,7855,0.11737746658179503,29,30.1640625
nice_cray,3,17,0.17647058823529413,2,7.20556640625
quizzical_haslett,2,3,0.6666666666666666,1,2.87060546875
zealous_faraday,498,3153,0.15794481446241673,25,25.82373046875
heuristic_cartwright,1,2,0.5,1,1.55322265625
zealous_bell,6,7,0.8571428571428571,2,3.392578125
stupefied_nobel,1,2,0.5,1,1.5380859375
friendly_sammet,30,65,0.46153846153846156,7,13.5009765625
hardcore_chatelet,155,647,0.23956723338485317,17,27.10009765625
exciting_bhabha,8,9,0.8888888888888888,2,3.365234375
festive_lichterman,4,27,0.14814814814814814,4,9.57177734375
dazzling_brahmagupta,14,15,0.9333333333333333,3,4.615234375
strange_jennings,2,3,0.6666666666666666,1,1.58203125
unruffled_cohen,2,3,0.6666666666666666,1,4.0986328125
clever_mahavira,7,9,0.7777777777777778,2,3.53369140625
silly_euler,2,3,0.6666666666666666,1,1.55859375
condescending_joliot,1,2,0.5,1,1.54443359375
kind_hermann,411,2364,0.17385786802030456,20,26.98486328125
vigorous_black,7,20,0.35,4,8.96337890625
loving_hypatia,4,16,0.25,2,5.93701171875
quirky_mccarthy,2,3,0.6666666666666666,2,3.3505859375
laughing_pasteur,11,16,0.6875,2,3.56005859375
elastic_lichterman,666,2500,0.2664,26,25.8046875
xenodochial_snyder,8,10,0.8,2,3.54541015625
infallible_galileo,84,85,0.9882352941176471,14,19.814453125
optimistic_ptolemy,19,41,0.4634146341463415,8,14.083984375
stupefied_faraday,3,4,0.75,1,1.6025390625
modest_feistel,11,37,0.2972972972972973,4,9.66259765625
zen_shaw,4,7,0.5714285714285714,2,3.4287109375
blissful_rubin,2,3,0.6666666666666666,1,5.39013671875
quizzical_napier,11,24,0.4583333333333333,6,11.3984375
nice_colden,3,5,0.6,2,3.3740234375
recursing_zhukovsky,21,70,0.3,6,11.49267578125
recursing_heisenberg,7,25,0.28,4,7.8408203125
tender_poitras,11,26,0.4230769230769231,6,11.54248046875
elated_hawking,3,5,0.6,2,3.37744140625
musing_shaw,7,19,0.3684210526315789,3,6.51318359375
relaxed_pasteur,2,3,0.6666666666666666,2,3.35986328125
compassionate_bouman,1,2,0.5,1,1.54736328125
elated_wiles,2,3,0.6666666666666666,1,1.5712890625
vibrant_allen,27,41,0.6585365853658537,4,7.50439453125
goofy_sanderson,24,63,0.38095238095238093,5,9.3505859375
zen_franklin,7,20,0.35,4,11.515625
relaxed_montalcini,2,11,0.18181818181818182,2,5.92919921875
ecstatic_knuth,10,14,0.7142857142857143,3,5.24755859375
zealous_hodgkin,16,19,0.8421052631578947,3,5.978515625
great_grothendieck,9,21,0.42857142857142855,3,8.943359375
hungry_shtern,6,21,0.2857142857142857,3,7.75537109375
frosty_lewin,2,3,0.6666666666666666,2,3.3671875
kind_mirzakhani,12,18,0.6666666666666666,5,9.125
elastic_torvalds,682,5782,0.11795226565202352,26,28.6005859375
ecstatic_easley,3,13,0.23076923076923078,2,12.587890625
wizardly_blackwell,3,5,0.6,2,3.36962890625
goofy_grothendieck,5,48,0.10416666666666667,4,13.32470703125
hungry_tu,19,116,0.16379310344827586,9,15.59130859375
recursing_hawking,5,9,0.5555555555555556,4,7.1943359375
ecstatic_napier,878,10385,0.08454501685122773,27,33.24609375
objective_pasteur,3,18,0.16666666666666666,3,7.73828125
nice_neumann,11,13,0.8461538461538461,4,7.89501953125
elated_franklin,20,39,0.5128205128205128,4,7.24951171875
peaceful_vaughan,12,30,0.4,3,7.77392578125
gracious_wu,3,4,0.75,3,4.71728515625
priceless_dijkstra,8,25,0.32,5,8.95361328125
youthful_clarke,17,109,0.1559633027522936,8,17.62646484375
gracious_chatterjee,5,9,0.5555555555555556,4,10.78466796875
trusting_lewin,4,82,0.04878048780487805,4,14.6845703125
cranky_perlman,7,8,0.875,3,4.57861328125
beautiful_mahavira,13,19,0.6842105263157895,4,7.75341796875
musing_noether,9,45,0.2,6,13.197265625
adoring_darwin,14,61,0.22950819672131148,6,17.07568359375
suspicious_bohr,3,13,0.23076923076923078,2,4.51708984375
vigilant_leakey,21,58,0.3620689655172414,6,10.5078125
beautiful_williams,5,6,0.8333333333333334,4,5.86083984375
jolly_lamarr,12,105,0.11428571428571428,4,16.13427734375
vigorous_colden,935,10827,0.0863581786275053,30,36.24853515625
tender_williamson,842,9547,0.08819524457944904,34,31.5390625
vibrant_leavitt,479,1498,0.3197596795727637,26,29.00537109375
objective_roentgen,49,208,0.23557692307692307,18,24.98046875
