function,container_name,schedule_time(ms),cold_start(ms),exec_time(ms),queue_time(ms),used_memory(MB),input_n
azure_func_00000409_io_optimize,wonderful_jepsen,1790.208101272583,1656.8326950073242,600.8262634277344,0,11.97265625,30
azure_func_00000409_io_optimize,wonderful_jepsen,1787.390947341919,1656.8326950073242,383.0544948577881,0,14.578125,30
azure_func_00000409_io_optimize,wonderful_jepsen,140.28596878051758,0,55.583953857421875,0,0.16015625,30
azure_func_00000409_io_optimize,wonderful_jepsen,88.44971656799316,0,79.7414779663086,0,0.125,30
azure_func_00000409_io_optimize,wonderful_jepsen,47.20044136047363,0,1048.8653182983398,0,10.6328125,30
azure_func_00000410_io_optimize,admiring_hamilton,3801.560401916504,3251.8720626831055,958.5349559783936,0,12.234375,30
azure_func_00000409_io_optimize,wonderful_jepsen,106.44674301147461,0,73.18782806396484,0,0.0,30
azure_func_00000409_io_optimize,wonderful_jepsen,99.1058349609375,0,64.98932838439941,0,0.0,30
azure_func_00000413_io_optimize,modest_meninsky,4704.676866531372,4096.279859542847,803.9810657501221,0,11.9453125,30
azure_func_00000409_io_optimize,wonderful_jepsen,199.39446449279785,0,186.85412406921387,0,0.390625,30
azure_func_00000410_io_optimize,admiring_hamilton,222.0015525817871,0,572.0782279968262,0,14.0078125,30
azure_func_00000410_io_optimize,admiring_hamilton,175.60911178588867,0,75.90651512145996,0,0.2578125,30
azure_func_00000409_io_optimize,wonderful_jepsen,116.29676818847656,0,107.88536071777344,0,0.0,30
azure_func_00000409_io_optimize,wonderful_jepsen,21.030902862548828,0,254.42862510681152,0,0.0,30
azure_func_00000409_io_optimize,wonderful_jepsen,12.53366470336914,0,769.4118022918701,0,8.8046875,30
azure_func_00000410_io_optimize,priceless_liskov,6666.8829917907715,5672.332763671875,1008.4741115570068,0,12.1875,30
azure_func_00000411_io_optimize,nice_archimedes,6546.326637268066,5400.07758140564,885.2300643920898,0,12.03125,30
azure_func_00000411_io_optimize,nice_archimedes,6529.60467338562,5400.07758140564,672.8670597076416,0,14.39453125,30
azure_func_00000421_io_optimize,intelligent_chebyshev,7080.466985702515,6143.830060958862,1287.8494262695312,0,12.18359375,30
azure_func_00000421_io_optimize,great_kirch,7242.829322814941,6365.257501602173,1260.8222961425781,0,12.0390625,30
azure_func_00000421_io_optimize,great_kirch,7190.559387207031,6365.257501602173,95.02005577087402,0,0.0,30
azure_func_00000409_io_optimize,wonderful_jepsen,212.2340202331543,0,732.5289249420166,0,14.24609375,30
azure_func_00000409_io_optimize,wonderful_jepsen,163.32435607910156,0,87.75210380554199,0,0.0,30
azure_func_00000410_io_optimize,admiring_hamilton,274.3697166442871,0,911.1011028289795,0,10.83203125,30
azure_func_00000410_io_optimize,admiring_hamilton,207.4909210205078,0,668.7073707580566,0,14.41796875,30
azure_func_00000421_io_optimize,youthful_williamson,7327.050685882568,6362.201690673828,1237.0927333831787,0,12.015625,30
azure_func_00000421_io_optimize,youthful_williamson,7264.7411823272705,6362.201690673828,92.18692779541016,0,0.0,30
azure_func_00000410_io_optimize,priceless_liskov,121.49810791015625,0,738.9051914215088,0,14.171875,30
azure_func_00000410_io_optimize,practical_sinoussi,6598.221063613892,5488.716602325439,1041.8462753295898,0,11.9140625,30
azure_func_00000410_io_optimize,practical_sinoussi,6595.651865005493,5488.716602325439,1816.9293403625488,0,29.09375,30
azure_func_00000410_io_optimize,practical_sinoussi,6458.511114120483,5488.716602325439,1660.6323719024658,0,28.6484375,30
azure_func_00000411_io_optimize,nice_archimedes,276.65138244628906,0,112.05148696899414,0,0.12890625,30
azure_func_00000409_io_optimize,wonderful_jepsen,313.30275535583496,0,76.09868049621582,0,0.54296875,30
azure_func_00000409_io_optimize,wonderful_jepsen,188.4007453918457,0,95.75867652893066,0,0.0,30
azure_func_00000410_io_optimize,bold_engelbart,7424.325227737427,6245.769739151001,1180.4051399230957,0,11.98046875,30
azure_func_00000410_io_optimize,bold_engelbart,7393.831968307495,6245.769739151001,720.0875282287598,0,14.38671875,30
azure_func_00000410_io_optimize,admiring_hamilton,295.78709602355957,0,104.22921180725098,0,0.0,30
azure_func_00000410_io_optimize,compassionate_kapitsa,8242.718696594238,7310.005664825439,983.5171699523926,0,12.08203125,30
azure_func_00000409_io_optimize,gallant_jones,7679.91304397583,6632.683992385864,1347.9743003845215,0,12.01953125,30
azure_func_00000409_io_optimize,gallant_jones,7588.601589202881,6632.683992385864,751.5919208526611,0,14.3828125,30
azure_func_00000409_io_optimize,upbeat_meninsky,7512.358903884888,6471.935272216797,1127.6814937591553,0,12.25,30
azure_func_00000409_io_optimize,upbeat_meninsky,7485.565662384033,6471.935272216797,1144.2546844482422,0,14.39453125,30
azure_func_00000409_io_optimize,upbeat_meninsky,7461.567163467407,6471.935272216797,327.4259567260742,0,0.078125,30
azure_func_00000409_io_optimize,upbeat_meninsky,7354.937314987183,6471.935272216797,436.1302852630615,0,0.39453125,30
azure_func_00000409_io_optimize,strange_leavitt,7143.251657485962,6063.752889633179,901.1952877044678,0,12.00390625,30
azure_func_00000409_io_optimize,strange_leavitt,7090.104579925537,6063.752889633179,984.3935966491699,0,13.3984375,30
