Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,.299,0,18.61
2,0,.291,0,18.61
3,0.0891228,1.261,0,18.63
4,0.0618544,24.088,0,19.95
5,0.0460711,63.429,0,22.51
6,0.0643387,74.062,0,25.35
7,0.0207977,77.933,0,28.29
8,0.0168447,85.370,0,31.26
9,0.0319185,88.034,0,35.12
10,0.0288506,92.359,0,38.97
11,0.0236273,92.667,0,44.31
12,0.0244017,94.479,0,48.79
13,0.0346689,94.796,0,52.77
14,0.0206957,97.523,0,56.79
15,0.0436325,97.365,0,61.78
16,0.023242,95.534,0,64.64
17,0.0897312,94.105,0,67.25
18,0.0576105,95.862,0,70.87
19,0.0461388,93.820,0,75.26
20,0.0594578,86.777,0,79.24
21,0.0595322,93.171,0,83.95
22,0.0678205,92.106,0,87.52
23,0.068119,91.299,0,89.83
24,0.0443087,92.539,0,92.80
25,0.0353184,95.932,0,97.07
26,0.0676861,97.111,0,100.69
27,0.0560389,95.566,0,103.02
28,0.0382414,97.848,0,106.68
29,0.0490103,97.491,0,108.97
30,0.0863285,84.383,0,111.58
31,0.0581589,77.416,0,113.51
32,0.0827761,82.742,0,116.54
33,0.0779867,69.583,0,118.48
34,0.0542746,51.054,0,119.44
35,0.0635691,42.484,0,119.16
36,0.0582304,29.059,0,118.97
37,0.0723095,21.998,0,118.31
38,0.086503,8.549,0,117.32
39,0.0378408,11.762,0,117.37
40,0.045249,11.712,0,117.32
41,0.0323458,4.015,0,117.30
42,0.0267267,2.304,0,117.31
43,0.0257978,2.049,0,117.32
44,0.032588,4.068,0,117.23
45,0.0277948,6.492,0,117.40
46,0.0364962,4.998,0,117.33
47,0.0394516,6.799,0,117.33
48,0.0262766,4.923,0,117.24
49,0.0452518,5.144,0,117.31
50,0.0245943,2.117,0,117.33
51,0.0445452,5.076,0,117.40
52,0.0235329,10.981,0,117.61
53,0.0386477,8.404,0,117.73
54,0.0267267,6.835,0,117.96
55,0.0235329,4.975,0,117.89
56,0.0445385,3.392,0,118.07
57,0.0342607,4.267,0,117.96
58,0.0223885,2.554,0,118.04
59,0.0362272,3.120,0,117.96
60,0.0265017,3.255,0,117.61
61,0.0269413,3.745,0,117.59
62,0.0438919,6.947,0,117.74
63,0.021246,1.769,0,117.79
64,0.0234461,4.302,0,117.80
65,0.0426302,7.094,0,118.05
66,0.0278664,2.707,0,118.05
67,0.0255842,2.363,0,118.06
68,0.0343084,6.666,0,118.04
69,0.0394611,5.764,0,117.98
70,0.0275698,1.996,0,118.02
71,0.035017,4.466,0,118.15
72,0.0318298,2.981,0,118.18
73,0.0295982,5.125,0,118.22
74,0.0451126,5.460,0,118.38
75,0.0280552,4.059,0,118.42
76,0.0284958,2.956,0,118.40
77,0.0251608,3.540,0,118.38
78,0.0300274,3.398,0,118.36
79,0.0277176,2.332,0,118.47
80,0.0265017,2.348,0,118.47
81,0.0286312,1.733,0,118.48
82,0.0204124,4.439,0,118.60
83,0.0372992,3.250,0,118.56
84,0.0298471,3.906,0,118.58
85,0.0256615,2.011,0,118.55
86,0.0316172,3.942,0,118.64
87,0.0328865,2.146,0,118.60
88,0.0296946,3.429,0,118.59
89,0.0331402,5.495,0,118.61
90,0.0293217,4.703,0,118.68
91,0.038518,6.800,0,118.53
92,0.0350256,4.044,0,118.61
93,0.0296936,2.860,0,118.52
94,0.0400457,3.579,0,118.48
95,0.0420399,6.852,0,118.47
96,0.026804,2.776,0,118.41
97,0.0204124,1.488,0,118.39
98,0.0408592,6.676,0,118.56
99,0.0319176,8.890,0,118.60
100,0.0583296,7.785,0,118.64
101,0.0416422,10.132,0,118.82
102,0.040123,3.566,0,118.75
103,0.0370035,6.660,0,118.69
104,0.0373821,4.481,0,118.69
105,0.0245962,1.717,0,118.68
106,0.0287819,4.039,0,118.67
107,0.0316906,3.566,0,118.63
108,0.0352507,4.639,0,118.71
109,0.0246716,1.842,0,118.70
110,0.0278568,3.265,0,118.77
111,0.0183554,2.240,0,118.81
112,0.00766754,2.171,0,118.79
113,0,.268,0,118.80
114,0.00304508,.751,0,118.80
115,0.00723076,2.957,0,118.87
116,0.00814819,5.125,0,118.81
117,0.0082922,2.568,0,118.80
118,0.00106525,1.069,0,118.85
119,0.000989914,.417,0,118.85
120,0.0102005,3.302,0,118.88
121,0.00928593,1.731,0,118.86
122,0.0144644,1.515,0,118.92
123,0.0320768,2.710,0,118.85
124,0.0654116,8.648,0,119.05
125,0.0782967,14.860,0,118.89
126,0.0438881,6.460,0,118.88
127,0.051403,4.380,0,118.87
128,0.0485573,4.613,0,118.87
129,0.055439,6.259,0,118.85
130,0.0556641,5.492,0,118.83
131,0.0594015,5.859,0,118.85
132,0.0679235,8.310,0,118.85
133,0.0504274,14.431,0,118.88
134,0.0836363,16.054,0,118.49
135,0.0596933,8.426,0,118.51
136,0.0637655,6.903,0,118.43
137,0.0589333,5.577,0,118.47
138,0.0584002,4.349,0,118.46
139,0.0479031,8.634,0,118.49
140,0.0601482,10.153,0,118.44
141,0.0516634,10.767,0,118.55
142,0.0604506,15.298,0,118.71
143,0.0596333,13.551,0,118.60
144,0.0688944,7.460,0,118.60
145,0.0709581,7.839,0,118.76
146,0.0652475,11.532,0,118.86
147,0.0705719,6.472,0,118.81
148,0.0608473,5.543,0,118.74
149,0.0391579,8.527,0,118.76
150,0.0625906,9.262,0,118.84
151,0.0651703,10.253,0,118.77
152,0.0721226,7.243,0,118.74
153,0.0585575,11.111,0,118.60
154,0.0475254,11.820,0,118.51
155,0.066391,10.526,0,118.65
156,0.0511761,8.836,0,118.65
157,0.0659943,5.347,0,118.62
158,0.048542,7.782,0,118.62
159,0.0630465,6.666,0,118.61
160,0.0440149,5.258,0,118.56
161,0.0609865,8.803,0,118.65
162,0.057869,13.541,0,118.85
163,0.0600119,9.401,0,118.83
164,0.0459261,3.526,0,118.86
165,0.0712042,6.555,0,118.89
166,0.0436821,6.004,0,118.84
167,0.0466204,9.567,0,118.90
168,0.0630407,10.876,0,119.01
169,0.0659418,4.899,0,118.97
170,0.0541439,7.316,0,118.98
171,0.0589314,7.839,0,118.94
172,0.0515394,10.457,0,118.92
173,0.0586014,12.208,0,118.86
174,0.0562782,15.067,0,118.87
175,0.0531664,18.543,0,119.03
176,0.0597715,15.466,0,118.80
177,0.0847464,15.348,0,118.72
178,0.0636415,12.636,0,118.75
179,0.0600748,7.094,0,118.67
180,0.0429516,4.577,0,118.69
181,0.0469799,5.613,0,118.62
182,0.0512018,8.868,0,118.63
183,0.0291519,7.727,0,118.65
184,0.0199642,5.864,0,118.67
185,0.0525398,9.845,0,118.66
186,0.0603189,9.118,0,118.72
187,0.031106,15.955,0,118.72
188,0.0584431,10.114,0,118.61
189,0.0697594,14.097,0,118.58
190,0.0744638,13.806,0,118.49
191,0.0387659,15.006,0,118.58
192,0.0723267,14.835,0,118.65
193,0.0585594,10.380,0,118.77
194,0.057065,16.364,0,118.82
195,0.057106,20.279,0,119.17
196,0.0717449,14.513,0,119.30
197,0.0502577,13.742,0,119.49
198,0.0646334,15.351,0,119.74
199,0.0704231,18.041,0,119.84
200,0.0592623,15.040,0,119.78
201,0.0684328,17.005,0,119.69
202,0.0490475,8.625,0,119.73
203,0.0630436,9.314,0,119.86
204,0.0690088,6.997,0,119.76
205,0.0521641,4.827,0,119.77
206,0.0628176,6.821,0,119.51
207,0.0364885,13.443,0,119.51
208,0.0635538,14.657,0,119.68
209,0.0598497,8.964,0,119.55
210,0.0502348,3.628,0,119.56
