Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,.296,0,27.97
2,0,.291,0,27.96
3,0.0828218,1.250,0,28.05
4,0.0610924,22.590,0,29.76
5,0.0467758,59.987,0,32.18
6,0.066576,71.644,0,36.00
7,0.0208778,88.391,0,38.89
8,0.0179043,91.345,0,43.26
9,0.0374193,91.467,0,46.47
10,0.027132,94.505,0,51.88
11,0.0438452,94.148,0,57.05
12,0.036418,95.526,0,63.16
13,0.0312157,94.837,0,67.07
14,0.0435286,95.614,0,71.29
15,0.0439529,97.131,0,76.59
16,0.0593948,94.196,0,80.40
17,0.0545559,94.456,0,85.58
18,0.0631294,92.821,0,90.11
19,0.0739594,90.529,0,94.79
20,0.0321407,91.312,0,99.09
21,0.0653601,94.093,0,103.72
22,0.0443201,95.585,0,106.54
23,0.0914488,84.354,0,109.71
24,0.0407,82.154,0,113.26
25,0.0669632,77.448,0,117.15
26,0.0681067,75.546,0,121.17
27,0.0686741,67.012,0,123.19
28,0.078845,61.921,0,125.62
29,0.0551844,49.653,0,126.77
30,0.0913305,42.274,0,127.55
31,0.0543337,36.300,0,127.88
32,0.0607853,27.145,0,128.82
33,0.0758505,15.819,0,128.98
34,0.0358992,14.539,0,129.58
35,0.0350018,11.188,0,130.04
36,0.0410748,10.195,0,130.10
37,0.0501375,9.625,0,130.48
38,0.0651855,6.381,0,129.77
39,0.0396328,4.951,0,129.60
40,0.0447845,2.684,0,129.60
41,0.0424681,4.382,0,129.69
42,0.0369587,4.112,0,129.92
43,0.0213757,2.667,0,130.01
44,0.0329504,3.309,0,129.98
45,0.0285559,2.398,0,129.98
46,0.0284777,3.086,0,130.11
47,0.0374317,6.071,0,130.44
48,0.0327358,2.040,0,130.44
49,0.0445318,4.800,0,130.51
50,0.0381384,3.364,0,130.52
51,0.0321112,2.719,0,130.71
52,0.0332375,2.350,0,130.73
53,0.0307512,2.752,0,130.93
54,0.0509577,6.861,0,130.64
55,0.0256424,5.376,0,130.74
56,0.0268459,6.158,0,131.01
57,0.0426874,6.139,0,130.87
58,0.0254984,2.647,0,130.97
59,0.0222378,6.361,0,131.19
60,0.0356712,2.752,0,131.22
61,0.0267763,2.593,0,131.27
62,0.0257816,2.073,0,131.25
63,0.0353775,2.527,0,131.23
64,0.0286884,2.479,0,131.27
65,0.0318098,3.530,0,131.30
66,0.0202408,3.148,0,131.35
67,0.0465889,4.258,0,131.32
68,0.0320196,2.459,0,131.32
69,0.0257139,2.434,0,131.35
70,0.0347939,2.299,0,131.36
71,0.0364294,4.355,0,131.49
72,0.0320339,2.650,0,131.51
73,0.0267763,2.453,0,131.56
74,0.0340891,2.770,0,131.57
75,0.0402031,3.621,0,131.79
76,0.0343056,4.595,0,131.95
77,0.0279818,2.829,0,132.04
78,0.0288372,4.389,0,132.04
79,0.0330963,2.962,0,132.06
80,0.0299711,4.575,0,132.00
81,0.0267763,1.906,0,132.02
82,0.0247164,2.663,0,131.98
83,0.0287685,2.187,0,131.98
84,0.0329561,2.106,0,131.98
85,0.0236511,1.788,0,131.98
86,0.0305309,2.279,0,131.99
87,0.025034,1.934,0,132.01
88,0.0308943,2.560,0,132.01
89,0.0262899,2.401,0,132.00
90,0.032033,4.038,0,132.06
91,0.0289068,2.265,0,132.06
92,0.0392656,3.482,0,132.11
93,0.0341597,3.564,0,132.09
94,0.0286942,2.843,0,132.03
95,0.0332947,2.585,0,132.05
96,0.0370712,2.274,0,132.04
97,0.0393419,3.607,0,132.15
98,0.0267801,2.854,0,132.17
99,0.0179081,1.581,0,132.17
100,0.0358572,4.008,0,132.31
101,0.0481319,7.038,0,132.43
102,0.0267038,4.907,0,132.37
103,0.0486679,7.396,0,132.64
104,0.0389099,5.656,0,132.66
105,0.0423832,5.977,0,132.85
106,0.023654,2.020,0,132.85
107,0.0247164,2.240,0,132.87
108,0.0306273,2.905,0,132.95
109,0.0317469,2.309,0,132.97
110,0.0331697,3.399,0,133.05
111,0.0259256,4.587,0,133.03
112,0.0267067,2.598,0,133.02
113,0.028223,2.172,0,133.04
114,0.00731182,2.963,0,133.19
115,0.00106525,.924,0,133.12
116,0.000993729,.655,0,133.12
117,0.00723839,.836,0,133.11
118,0.0164042,1.314,0,133.12
119,0.00624466,1.785,0,133.20
120,0.00106525,.445,0,133.20
121,0,.320,0,133.21
122,0.0102234,1.222,0,133.29
123,0.00624657,1.397,0,133.39
124,0.0175419,1.516,0,133.40
125,0.027113,1.191,0,133.40
126,0.0594501,7.170,0,133.57
127,0.0710201,7.797,0,133.86
128,0.0450525,5.917,0,134.03
129,0.0641403,7.061,0,134.19
130,0.047307,3.918,0,134.13
131,0.0549755,3.942,0,134.14
132,0.0505037,3.344,0,134.14
133,0.0503597,3.829,0,134.31
134,0.0695801,5.843,0,134.40
135,0.0715218,6.044,0,134.51
136,0.0729504,9.044,0,134.38
137,0.0534792,4.617,0,134.40
138,0.0567255,6.188,0,134.49
139,0.0720673,4.800,0,134.51
140,0.0460978,5.138,0,134.51
141,0.0717897,7.936,0,134.55
142,0.0504322,8.171,0,134.80
143,0.0614748,4.979,0,134.84
144,0.0511999,7.822,0,135.05
145,0.069869,8.398,0,135.10
146,0.0514956,4.037,0,135.11
147,0.0523434,4.315,0,135.19
148,0.0611992,10.603,0,135.23
149,0.076067,9.448,0,135.27
150,0.0611839,5.319,0,135.27
151,0.0573893,3.761,0,135.28
152,0.0600872,6.096,0,135.37
153,0.0522013,4.997,0,135.45
154,0.0627184,4.088,0,135.47
155,0.065608,6.770,0,135.77
156,0.0722942,5.787,0,135.78
157,0.0409164,4.580,0,135.83
158,0.0479755,4.350,0,135.83
159,0.0588808,5.964,0,135.82
160,0.0491524,5.362,0,135.90
161,0.0549097,6.180,0,135.90
162,0.0536995,5.070,0,135.88
163,0.0438948,4.499,0,135.89
164,0.0800858,8.518,0,135.87
165,0.0601587,5.625,0,135.91
166,0.0443869,3.727,0,135.91
167,0.0494356,4.240,0,135.96
168,0.0639229,5.083,0,135.98
169,0.042222,7.123,0,135.99
170,0.0588713,8.477,0,135.99
171,0.0504274,6.867,0,135.99
172,0.0490875,8.470,0,136.08
173,0.0564165,10.274,0,136.11
174,0.0651436,6.427,0,136.17
175,0.0507498,6.704,0,136.17
176,0.0801897,7.271,0,136.08
177,0.0637207,6.272,0,136.08
178,0.0520954,4.734,0,136.09
179,0.0640497,6.598,0,136.07
180,0.0394182,7.742,0,136.05
181,0.064065,8.693,0,136.05
182,0.0572109,7.553,0,136.06
183,0.0482998,8.007,0,136.06
184,0.0539103,9.121,0,136.06
185,0.0502186,7.237,0,136.07
186,0.0427551,10.809,0,136.12
187,0.018198,3.898,0,136.09
188,0.0448866,8.567,0,136.09
189,0.0523396,8.335,0,136.12
190,0.0458813,18.597,0,136.16
191,0.0570173,11.916,0,136.27
192,0.0730038,13.148,0,136.35
193,0.0905571,16.840,0,136.67
194,0.0342007,12.937,0,136.94
195,0.0635109,12.564,0,137.20
196,0.0591555,10.388,0,137.36
197,0.0884552,13.054,0,137.57
198,0.0531158,11.094,0,137.75
199,0.0748606,14.981,0,137.64
200,0.0486488,10.995,0,137.56
201,0.0585957,11.620,0,137.66
202,0.0615902,11.064,0,137.70
203,0.0693169,6.660,0,137.63
204,0.0628424,6.822,0,137.75
205,0.0484428,5.194,0,137.77
206,0.0473042,8.141,0,137.78
207,0.062007,6.290,0,137.73
208,0.0542698,5.494,0,137.75
209,0.0544729,8.268,0,137.75
210,0.0543108,5.061,0,137.77
211,0.0584183,7.791,0,137.77
212,0.05128,6.293,0,137.77
213,0.0508547,5.785,0,137.79
214,0.0492229,4.557,0,137.80
215,0.056962,7.095,0,137.84
216,0.0556831,6.292,0,137.85
217,0.0439529,10.180,0,137.87
218,0.0671902,5.870,0,137.89
219,0.0522118,9.309,0,137.95
220,0.0494356,9.077,0,137.95
221,0.070219,10.886,0,137.96
222,0.0526838,7.804,0,137.96
223,0.0642786,7.297,0,137.92
224,0.0546942,5.772,0,137.91
225,0.0527048,4.948,0,137.93
226,0.0584478,5.547,0,137.93
227,0.0539665,12.666,0,138.10
228,0.0630589,23.845,0,138.49
229,0.0732307,28.153,0,138.93
230,0.0724564,32.997,0,139.91
231,0.106882,35.288,0,140.50
232,0.0987196,18.425,0,140.89
233,0.0909023,12.621,0,141.00
234,0.0826502,8.605,0,141.03
235,0.0778208,15.092,0,141.23
236,0.0938711,14.905,0,141.74
237,0.0887184,11.249,0,141.99
238,0.0835915,12.630,0,142.06
239,0.072464,8.774,0,142.21
240,0.0666647,8.087,0,142.18
241,0.0631313,8.954,0,142.47
242,0.0428305,5.877,0,142.71
243,0.0708761,5.110,0,142.76
244,0.0504274,15.840,0,142.95
245,0.0655975,11.887,0,143.14
246,0.0580196,6.313,0,143.20
247,0.0567513,7.708,0,143.32
248,0.0554686,9.686,0,143.36
249,0.0705967,8.858,0,143.51
250,0.0372114,7.924,0,143.77
251,0.069623,8.650,0,143.82
252,0.0655737,14.094,0,143.98
253,0.0762043,18.928,0,143.94
254,0.0702848,17.374,0,143.94
255,0.0593042,21.602,0,144.25
256,0.10462,22.357,0,144.40
257,0.103684,14.927,0,144.45
258,0.0791187,10.617,0,144.48
259,0.0864239,11.769,0,144.66
260,0.0645361,10.645,0,144.60
261,0.0522776,4.817,0,144.60
262,0.0641356,4.572,0,144.60
263,0.0633268,4.909,0,144.61
264,0.0685883,5.106,0,144.61
265,0.0597286,5.097,0,144.62
266,0.0525055,7.299,0,144.70
267,0.0648384,6.378,0,144.66
268,0.0788994,7.008,0,144.66
269,0.075778,8.035,0,144.66
270,0.0521317,9.377,0,144.73
271,0.0782566,6.834,0,144.74
272,0.0630722,5.806,0,144.74
273,0.0448875,8.148,0,144.76
274,0.0549736,9.603,0,144.85
275,0.0504427,7.749,0,144.86
276,0.0516415,10.945,0,144.88
277,0.0737734,13.135,0,144.94
278,0.0448809,16.971,0,144.94
279,0.0754585,12.016,0,144.92
280,0.0363007,10.857,0,145.02
281,0.0651274,7.011,0,145.04
282,0.0562916,6.888,0,145.17
283,0.0530148,6.890,0,145.17
284,0.0573864,12.942,0,145.41
285,0.0737143,12.756,0,145.86
286,0.0568247,6.967,0,145.86
287,0.0447445,4.065,0,145.88
288,0.0467377,4.388,0,145.87
289,0.0565367,6.668,0,145.86
290,0.067935,7.976,0,145.88
291,0.0438232,4.907,0,145.88
292,0.0619497,7.600,0,145.87
293,0.0616512,4.680,0,145.87
294,0.0398493,8.270,0,145.89
295,0.0513449,11.541,0,145.90
296,0.0724325,11.214,0,145.77
297,0.0566063,14.367,0,145.78
298,0.0707302,18.591,0,145.91
299,0.0695314,19.557,0,145.99
300,0.0646744,16.158,0,145.93
301,0.093111,18.234,0,146.09
302,0.0682516,14.093,0,146.07
303,0.0837002,18.359,0,146.09
304,0.0953074,14.187,0,146.06
305,0.0755711,13.757,0,146.11
306,0.0481577,10.879,0,146.09
307,0.0536995,13.874,0,146.14
308,0.0588131,14.733,0,146.19
309,0.0494871,14.034,0,146.23
310,0.0588799,11.447,0,146.29
311,0.0495424,13.738,0,146.28
312,0.0558043,12.701,0,146.33
313,0.0425587,14.178,0,146.35
314,0.0637655,9.191,0,146.37
315,0.0344524,11.334,0,146.37
316,0.0494404,11.816,0,146.39
317,0.0480175,11.117,0,146.38
318,0.0444603,16.128,0,146.38
319,0.0641212,16.855,0,146.37
320,0.0343876,14.096,0,146.37
321,0.0442533,19.807,0,146.48
322,0.0652695,12.142,0,146.41
323,0.0646114,8.570,0,146.47
324,0.0450983,11.738,0,146.45
325,0.0666885,11.378,0,146.45
326,0.0448313,10.597,0,146.41
327,0.0546045,17.787,0,146.44
328,0.049016,18.591,0,146.46
329,0.0637465,14.965,0,146.38
330,0.0569563,18.684,0,146.42
331,0.0504541,16.103,0,146.59
332,0.0357857,12.710,0,146.58
333,0.0656843,15.018,0,146.69
334,0.0763521,13.537,0,146.80
335,0.0397062,13.970,0,146.95
336,0.0620213,14.285,0,147.01
337,0.051363,9.316,0,147.01
338,0.0431976,8.075,0,147.01
339,0.0411854,10.062,0,147.00
340,0.0462084,12.373,0,147.01
341,0.051631,12.552,0,147.00
342,0.0494347,12.725,0,147.01
343,0.0508623,14.238,0,147.05
344,0.057538,22.808,0,147.31
345,0.0601616,18.622,0,147.42
346,0.0677576,13.608,0,147.50
