Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,.315,0,25.15
2,0,.268,0,25.15
3,0.0181208,.448,0,25.15
4,0.0784369,10.587,0,25.66
5,0.0530367,51.591,0,27.82
6,0.0609713,68.163,0,30.96
7,0.0289164,79.497,0,33.71
8,0.0171375,89.833,0,37.91
9,0.0289593,93.450,0,40.85
10,0.0261335,92.867,0,45.64
11,0.022398,94.799,0,49.43
12,0.029912,94.808,0,54.31
13,0.0432205,95.553,0,58.50
14,0.0469942,90.441,0,62.03
15,0.0361691,92.274,0,66.19
16,0.0665531,87.456,0,70.45
17,0.0623484,84.570,0,73.96
18,0.0571747,90.163,0,78.26
19,0.0428457,93.106,0,83.28
20,0.0600281,92.632,0,87.14
21,0.084074,93.212,0,91.38
22,0.0474377,94.850,0,95.61
23,0.0667219,94.453,0,99.02
24,0.0902939,87.072,0,101.99
25,0.074111,79.329,0,105.03
26,0.0699739,75.300,0,108.06
27,0.0491056,60.205,0,111.01
28,0.0471764,65.542,0,113.56
29,0.0863724,52.821,0,115.90
30,0.04457,42.124,0,117.15
31,0.0662947,38.722,0,118.66
32,0.0384407,41.111,0,119.96
33,0.0810604,29.007,0,121.02
34,0.0719309,17.567,0,121.29
35,0.0267897,19.803,0,121.97
36,0.0639372,16.513,0,122.15
37,0.0348396,10.631,0,122.43
38,0.0665531,12.161,0,122.67
39,0.0371838,9.206,0,122.49
40,0.0341778,7.181,0,122.54
41,0.0501699,7.711,0,122.58
42,0.0486937,8.204,0,122.89
43,0.0334339,10.731,0,123.20
44,0.0913744,4.831,0,123.30
45,0.0248528,2.505,0,123.32
46,0.0279179,2.107,0,123.34
47,0.0328436,3.116,0,123.50
48,0.0342455,2.717,0,123.63
49,0.0362701,3.287,0,123.67
50,0.0395708,4.572,0,123.80
51,0.0371761,3.410,0,123.98
52,0.0373735,3.301,0,124.22
53,0.0232897,2.215,0,124.33
54,0.0459061,2.449,0,124.46
55,0.0491257,4.206,0,124.47
56,0.0288534,2.271,0,124.63
57,0.0257845,2.422,0,124.92
58,0.0279837,1.820,0,124.94
59,0.0307865,3.580,0,124.16
60,0.0290489,3.574,0,124.32
61,0.0235872,2.084,0,124.34
62,0.0301113,2.911,0,124.40
63,0.0292015,2.265,0,124.40
64,0.030982,2.088,0,124.41
65,0.024519,3.720,0,124.61
66,0.0327559,3.179,0,124.64
67,0.027113,4.004,0,124.88
68,0.0391111,2.788,0,124.98
69,0.0322981,2.705,0,125.05
70,0.024086,1.625,0,125.07
71,0.0412378,2.886,0,125.06
72,0.0294228,4.323,0,125.32
73,0.0342436,2.685,0,125.50
74,0.0289106,2.236,0,125.52
75,0.0329676,2.528,0,125.51
76,0.0405684,4.235,0,125.82
77,0.0310841,1.746,0,125.84
78,0.0299807,3.115,0,126.08
79,0.030983,4.349,0,126.36
80,0.0277843,2.002,0,126.39
81,0.0299807,2.637,0,126.41
82,0.0311117,2.006,0,126.39
83,0.0268507,2.194,0,126.38
84,0.0262136,2.290,0,126.39
85,0.0351925,2.626,0,126.40
86,0.0237207,1.757,0,126.40
87,0.0341692,2.646,0,126.41
88,0.0217218,1.921,0,126.41
89,0.036047,2.489,0,126.42
90,0.03339,2.358,0,126.44
91,0.0247297,4.186,0,126.62
92,0.0353727,3.516,0,126.70
93,0.0401926,3.156,0,126.85
94,0.0331745,3.419,0,127.06
95,0.0329819,2.455,0,127.09
96,0.0337553,2.509,0,127.11
97,0.0329275,2.030,0,127.14
98,0.0394468,4.810,0,127.31
99,0.0279179,2.559,0,127.48
100,0.0238523,1.637,0,127.52
101,0.0401678,3.289,0,127.47
102,0.0376196,6.950,0,127.87
103,0.0385036,4.494,0,128.18
104,0.0522013,3.917,0,128.19
105,0.0316973,2.512,0,128.23
106,0.0466614,3.687,0,128.26
107,0.0257883,2.085,0,128.29
108,0.0237226,2.283,0,128.30
109,0.0268497,2.235,0,128.31
110,0.0318499,2.096,0,128.30
111,0.033309,3.152,0,128.32
112,0.0195789,1.879,0,128.33
113,0.0298653,2.399,0,128.45
114,0.0289183,3.489,0,128.46
115,0.0126495,1.237,0,128.47
116,0,.296,0,128.46
117,0.000999451,.238,0,128.45
118,0.00932026,1.431,0,128.49
119,0.0144548,1.345,0,128.50
120,0.00825596,1.644,0,128.59
121,0.00312996,.895,0,128.68
122,0,.261,0,128.67
123,0.0112572,1.307,0,128.53
124,0.00554371,1.287,0,128.65
125,0.01546,1.316,0,128.65
126,0.0202675,.897,0,128.66
127,0.0586376,4.130,0,128.70
128,0.0685492,6.504,0,128.75
129,0.0549603,5.512,0,128.97
