Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,.351,0,16.84
2,0,.323,0,16.84
3,0.0633373,1.220,0,16.88
4,0.0687227,26.098,0,18.52
5,0.048995,62.532,0,20.65
6,0.0672455,76.695,0,23.39
7,0.0228682,86.016,0,27.25
8,0.0200214,90.165,0,31.07
9,0.0335779,90.224,0,35.70
10,0.0291529,94.746,0,39.90
11,0.0268688,93.978,0,43.97
12,0.0269861,96.372,0,49.42
13,0.0450993,97.205,0,54.44
14,0.0267324,95.617,0,58.12
15,0.0590715,96.429,0,61.83
16,0.043951,96.373,0,66.74
17,0.0544786,96.558,0,71.48
18,0.0662632,91.289,0,76.39
19,0.0525188,93.969,0,80.44
20,0.0912666,94.536,0,84.06
21,0.0382099,91.122,0,88.58
22,0.0528793,94.077,0,92.09
23,0.0583277,94.503,0,95.93
24,0.0710506,89.755,0,99.45
25,0.0773602,74.747,0,102.01
26,0.0481844,73.729,0,105.84
27,0.0539522,78.532,0,109.09
28,0.0664434,69.648,0,111.55
29,0.0642881,55.852,0,113.49
30,0.101051,54.610,0,114.81
31,0.056386,39.524,0,115.51
32,0.0599995,37.032,0,115.98
33,0.0520563,31.441,0,116.25
34,0.0487804,21.306,0,116.86
35,0.0899391,14.854,0,117.02
36,0.0425301,12.997,0,117.12
37,0.0334377,15.801,0,116.84
38,0.0585966,7.938,0,116.30
39,0.0481415,8.249,0,116.05
40,0.0539913,3.870,0,115.95
41,0.0383558,4.133,0,115.93
42,0.0287676,2.872,0,115.97
43,0.0245838,1.780,0,115.98
44,0.0286932,2.213,0,115.98
45,0.0283852,4.710,0,116.16
46,0.0423841,2.904,0,116.20
47,0.0384026,3.747,0,116.35
48,0.0430765,4.462,0,116.32
49,0.0354033,4.662,0,116.25
50,0.032732,4.865,0,116.30
51,0.0256472,2.377,0,116.31
52,0.0454302,3.380,0,116.33
53,0.0352135,5.854,0,116.66
54,0.0267153,7.094,0,116.05
55,0.0289249,6.715,0,116.08
56,0.0353136,3.679,0,115.90
57,0.0296087,4.980,0,116.06
58,0.0261784,1.891,0,116.08
59,0.0286884,3.109,0,115.99
60,0.0288448,3.041,0,116.00
61,0.0236549,1.911,0,116.00
62,0.0381231,4.010,0,115.65
63,0.0338478,5.126,0,115.66
64,0.0212317,2.386,0,115.64
65,0.0360003,3.293,0,115.59
66,0.0387068,4.823,0,115.60
67,0.0267143,3.310,0,115.57
68,0.0305901,2.259,0,115.54
69,0.0402603,6.740,0,115.76
70,0.0320415,3.971,0,115.78
71,0.0307474,2.493,0,115.79
72,0.0350771,2.885,0,115.76
73,0.0357714,3.415,0,115.89
74,0.0372171,5.267,0,115.93
75,0.0318136,3.923,0,116.00
76,0.0245094,3.500,0,116.06
77,0.026638,2.637,0,116.08
78,0.0318909,4.032,0,116.08
79,0.0309753,2.298,0,116.06
80,0.0249348,2.135,0,116.06
81,0.0274315,2.117,0,116.06
82,0.0253477,2.693,0,116.09
83,0.0370789,5.370,0,116.07
84,0.0244293,2.475,0,116.09
85,0.0321188,2.613,0,116.06
86,0.0303841,2.476,0,116.04
87,0.0299883,2.675,0,116.08
88,0.023284,3.822,0,116.13
89,0.0396051,4.593,0,116.15
90,0.0270185,2.837,0,116.15
91,0.0340939,6.365,0,116.27
92,0.0308247,2.963,0,116.34
93,0.0340948,3.164,0,116.35
94,0.0288448,3.121,0,116.36
95,0.0388079,6.684,0,116.33
96,0.0414762,4.002,0,116.28
97,0.0195618,1.955,0,116.31
98,0.0324907,2.362,0,116.32
99,0.0440683,6.704,0,116.40
100,0.0415506,5.283,0,116.38
101,0.0542555,5.083,0,116.37
102,0.0330296,3.843,0,116.31
103,0.0431194,4.476,0,116.45
104,0.0382223,3.446,0,116.42
105,0.024662,2.230,0,116.42
106,0.0266352,2.347,0,116.42
107,0.0334406,4.057,0,116.43
108,0.0310526,4.300,0,116.44
109,0.030077,2.762,0,116.44
110,0.0276299,3.649,0,116.45
111,0.0235968,1.992,0,116.46
112,0.00978374,2.103,0,116.53
113,0.00106525,.710,0,116.45
114,0.00098896,.385,0,116.46
115,0.0092783,1.736,0,116.44
116,0.0153713,2.816,0,116.49
117,0.00623512,2.351,0,116.45
118,0.00106525,.982,0,116.44
119,0,.297,0,116.44
120,0.0111837,1.674,0,116.36
121,0.00730228,1.431,0,116.34
122,0.0174284,1.487,0,116.34
123,0.0260391,1.426,0,116.34
