Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,.913,0,14.42
2,0,1.011,0,14.43
3,0,.416,0,14.42
4,0.036149,3.726,0,14.95
5,0.0447769,43.620,0,16.32
6,0.0651693,79.023,0,19.73
7,0.0225677,86.408,0,23.84
8,0.0218792,91.098,0,27.82
9,0.0351505,93.937,0,32.27
10,0.0350723,95.182,0,37.13
11,0.030652,93.411,0,41.75
12,0.045599,96.101,0,46.38
13,0.0477276,96.406,0,52.11
14,0.0567904,96.285,0,57.26
15,0.056673,97.965,0,62.69
16,0.0339518,96.588,0,66.77
17,0.0679436,94.719,0,72.15
18,0.065526,80.504,0,77.25
19,0.0891895,72.350,0,81.92
20,0.0547752,77.159,0,84.76
21,0.0484161,84.711,0,88.66
22,0.0602694,93.350,0,92.92
23,0.0477133,93.560,0,97.02
24,0.0371885,87.933,0,101.38
25,0.0625849,83.689,0,105.52
26,0.107844,57.242,0,109.28
27,0.0723238,33.543,0,111.62
28,0.0564728,28.244,0,113.59
29,0.0974779,20.992,0,114.68
30,0.042099,10.996,0,115.33
31,0.0325289,7.829,0,115.41
32,0.0374413,9.328,0,116.21
33,0.0398531,9.163,0,116.83
34,0.0580463,10.298,0,117.53
35,0.0254393,5.976,0,117.79
36,0.0330257,9.354,0,118.32
37,0.0295792,7.446,0,118.54
38,0.0276632,5.775,0,118.10
39,0.037569,9.107,0,118.13
40,0.0989685,3.772,0,118.00
41,0.0390091,6.980,0,116.73
42,0.0345621,2.111,0,116.70
43,0.0455351,5.871,0,117.05
44,0.0429935,4.841,0,117.10
45,0.0270185,2.237,0,117.23
46,0.0286341,2.390,0,117.19
47,0.0254383,2.088,0,117.23
48,0.0276566,1.873,0,117.23
49,0.0386572,4.125,0,117.31
50,0.0293255,2.008,0,117.30
51,0.037488,4.266,0,117.25
52,0.0333157,3.591,0,117.29
53,0.0368805,4.896,0,117.38
54,0.0304155,2.552,0,117.44
55,0.0274725,2.286,0,117.52
56,0.062273,4.885,0,117.45
57,0.026598,2.590,0,117.48
58,0.0285435,2.957,0,117.53
59,0.0224257,1.699,0,117.54
60,0.0257568,2.354,0,117.52
61,0.0369501,3.228,0,117.49
62,0.0234022,1.818,0,117.49
63,0.0287991,2.675,0,117.49
64,0.0274744,1.904,0,117.53
65,0.0288906,1.786,0,117.54
66,0.0322647,2.785,0,117.45
67,0.022337,4.770,0,117.51
68,0.0351295,4.144,0,117.47
69,0.0325289,2.269,0,117.50
70,0.0285416,3.306,0,117.55
71,0.0274773,2.059,0,117.48
72,0.0299683,1.972,0,117.45
73,0.0417442,4.397,0,117.53
74,0.0324402,3.964,0,117.51
75,0.0284519,2.583,0,117.66
76,0.0326118,3.151,0,117.78
77,0.0340548,3.277,0,117.81
78,0.040988,3.962,0,117.72
79,0.030673,4.176,0,117.77
80,0.0277557,2.750,0,117.73
81,0.0305824,2.477,0,117.80
82,0.0305824,3.431,0,117.81
83,0.0254383,1.991,0,117.81
