Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,.476,0,15.90
2,0,.292,0,15.90
3,0.0854902,.953,0,15.94
4,0.0638342,19.174,0,17.44
5,0.0449486,58.722,0,19.38
6,0.0663195,71.799,0,22.32
7,0.0198097,85.268,0,25.27
8,0.0226669,89.935,0,29.18
9,0.0350409,90.408,0,32.17
10,0.0249882,94.992,0,36.81
11,0.0269022,94.329,0,41.67
12,0.0269442,96.286,0,46.98
13,0.0355701,96.522,0,51.77
14,0.0424662,97.382,0,55.68
15,0.0542965,96.443,0,60.34
16,0.0382099,96.403,0,64.17
17,0.0599937,92.889,0,68.11
18,0.0585527,91.398,0,72.83
19,0.060955,94.370,0,77.70
20,0.0659809,91.437,0,81.80
21,0.0666342,93.725,0,86.25
22,0.0535002,94.977,0,89.78
23,0.0849352,94.369,0,94.01
24,0.0527143,94.872,0,96.20
25,0.0598888,90.702,0,99.76
26,0.0859194,72.982,0,102.60
27,0.0525198,89.446,0,107.08
28,0.0743055,76.626,0,110.55
29,0.0688124,58.770,0,113.13
30,0.0418549,52.406,0,114.96
31,0.0990982,43.608,0,116.72
32,0.0490284,37.023,0,118.03
33,0.0485878,25.728,0,118.64
34,0.0614929,17.268,0,118.85
35,0.0319042,14.089,0,119.06
36,0.0678377,15.851,0,119.85
37,0.0594501,7.638,0,119.90
38,0.035326,6.892,0,119.99
39,0.0410128,7.319,0,119.53
40,0.100675,9.884,0,119.45
41,0.0383568,3.921,0,119.62
42,0.030571,2.943,0,119.82
43,0.0331182,3.374,0,119.99
44,0.0255356,2.066,0,120.01
45,0.0249338,2.246,0,120.17
46,0.033042,7.613,0,119.85
47,0.0401945,3.751,0,119.85
48,0.0392094,4.099,0,120.00
49,0.0380697,3.358,0,120.13
50,0.0329685,4.801,0,120.33
51,0.0321302,2.617,0,120.40
52,0.0258722,3.084,0,120.58
53,0.0488091,4.243,0,120.69
54,0.0367069,2.546,0,120.72
55,0.0224676,2.187,0,120.86
56,0.0271673,2.410,0,121.03
57,0.0245981,1.788,0,121.02
58,0.0306158,4.624,0,121.20
59,0.028245,1.973,0,121.21
60,0.0297709,2.900,0,121.28
61,0.0294952,2.222,0,121.28
62,0.0243721,2.093,0,121.33
63,0.0351734,2.324,0,121.42
64,0.0286942,4.334,0,121.75
65,0.0223112,2.064,0,121.81
66,0.0370073,2.965,0,121.98
67,0.0358753,3.773,0,122.10
68,0.0223913,2.554,0,122.20
69,0.030035,2.024,0,122.24
70,0.043396,5.570,0,122.32
71,0.0330439,3.215,0,122.40
72,0.0266533,2.087,0,122.50
73,0.0354156,3.035,0,122.52
74,0.0317554,3.983,0,122.67
75,0.0394831,4.658,0,123.00
76,0.0319786,2.881,0,123.13
77,0.0171385,4.759,0,123.16
78,0.0338221,3.523,0,123.24
79,0.0329704,2.657,0,123.32
80,0.027792,2.502,0,123.36
81,0.027441,2.457,0,123.36
82,0.0245218,1.923,0,123.38
83,0.0317526,2.416,0,123.39
84,0.031065,3.176,0,123.40
85,0.028966,2.667,0,123.39
86,0.0287819,2.335,0,123.40
87,0.0275669,2.224,0,123.40
88,0.0341864,2.882,0,123.38
89,0.0275602,3.532,0,123.43
90,0.0328903,3.422,0,123.63
91,0.03829,3.310,0,123.75
92,0.0390587,3.185,0,123.88
93,0.0325289,3.297,0,124.02
94,0.0338831,2.737,0,124.05
95,0.0309105,2.724,0,124.06
96,0.0376863,3.748,0,124.17
97,0.0357399,2.893,0,124.18
98,0.0205841,2.177,0,124.17
99,0.0306845,2.122,0,124.16
100,0.047286,4.084,0,124.27
101,0.0298471,5.133,0,124.44
102,0.0454597,3.634,0,124.49
103,0.038372,3.119,0,124.50
104,0.0427904,3.256,0,124.49
105,0.0384588,3.686,0,124.51
106,0.0226173,1.555,0,124.51
107,0.0276403,1.906,0,124.50
108,0.0319157,2.476,0,124.66
109,0.0360165,2.799,0,124.82
110,0.0257378,2.800,0,124.92
111,0.0249481,2.489,0,125.10
112,0.0268793,2.049,0,125.14
113,0.0207691,1.817,0,125.15
114,0.00213051,.535,0,125.15
115,0,.537,0,125.15
116,0.00707626,.742,0,125.15
117,0.0111923,1.278,0,125.13
118,0.00715542,1.075,0,125.22
119,0.00517368,.862,0,125.23
120,0,.238,0,125.24
121,0.00609207,.773,0,125.23
122,0.00829506,.835,0,125.24
123,0.00906372,.776,0,125.07
124,0.0104265,1.240,0,125.04
125,0.0476837,4.527,0,125.05
