Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,.326,0,14.56
2,0,.386,0,14.56
3,0,.352,0,14.55
4,0,.267,0,14.56
5,0.197946,18.094,0,15.66
6,0.0644512,58.247,0,18.24
7,0.0237131,76.459,0,21.18
8,0.0207911,91.636,0,25.24
9,0.0305567,92.609,0,29.51
10,0.0267372,94.128,0,34.35
11,0.0279522,96.434,0,38.39
12,0.040288,94.144,0,43.01
13,0.0520506,93.688,0,48.13
14,0.052351,87.432,0,52.51
15,0.0683365,81.561,0,57.14
16,0.0772705,72.244,0,60.72
17,0.0542679,82.773,0,64.47
18,0.0615311,86.127,0,67.86
19,0.057497,90.156,0,71.43
20,0.0343122,93.674,0,74.28
21,0.0547256,93.677,0,79.11
22,0.0692835,94.618,0,83.85
23,0.0557909,93.337,0,88.91
24,0.0510845,95.576,0,93.85
25,0.0547867,95.575,0,98.29
26,0.0624285,85.926,0,102.33
27,0.0645256,93.002,0,107.85
28,0.0621195,61.047,0,111.80
29,0.0852146,38.253,0,113.73
30,0.0434217,16.465,0,114.31
31,0.0344582,23.092,0,115.30
32,0.0445089,22.693,0,115.99
33,0.0440569,21.112,0,117.04
34,0.0348988,20.099,0,117.75
35,0.0409899,20.089,0,118.50
36,0.0293951,16.979,0,118.78
37,0.0311728,16.325,0,119.17
38,0.0338364,18.702,0,119.56
39,0.0288649,19.010,0,120.36
40,0.0647621,18.523,0,119.62
41,0.0586967,15.700,0,120.29
42,0.0367327,13.957,0,120.01
43,0.0776215,10.660,0,119.26
44,0.0307264,9.183,0,119.62
45,0.0280323,9.493,0,119.23
46,0.0327501,11.001,0,119.38
47,0.0335712,11.644,0,119.37
48,0.0333757,9.773,0,119.55
49,0.0388966,12.687,0,119.86
50,0.0380926,11.386,0,120.17
51,0.0401611,10.948,0,120.45
52,0.022541,7.314,0,120.74
53,0.0472393,9.256,0,121.28
54,0.0499029,13.989,0,121.70
55,0.0278835,8.031,0,121.94
56,0.0247736,6.717,0,121.70
57,0.0266438,7.337,0,121.68
58,0.0315285,11.103,0,121.78
59,0.0266438,6.840,0,121.72
60,0.0285053,7.928,0,121.75
61,0.0263891,8.756,0,121.51
62,0.0306377,9.485,0,121.59
63,0.0354939,8.151,0,121.39
64,0.0299292,7.699,0,121.35
65,0.0295677,8.041,0,121.53
66,0.0316925,6.916,0,119.69
67,0.0325079,5.302,0,118.97
68,0.0297489,2.705,0,118.94
69,0.033474,2.608,0,119.08
70,0.0416527,6.414,0,119.10
71,0.0308151,3.051,0,118.88
72,0.0294838,2.755,0,119.04
73,0.0306301,3.535,0,119.24
74,0.0422726,3.903,0,119.38
75,0.0310802,5.562,0,119.43
76,0.0305471,3.630,0,119.54
77,0.0307274,3.766,0,119.56
78,0.0293217,1.965,0,119.59
79,0.0295744,4.096,0,119.65
80,0.0276184,2.963,0,119.71
81,0.0278912,1.816,0,119.69
82,0.0276184,1.818,0,119.68
83,0.035388,3.285,0,119.69
84,0.0223799,1.399,0,119.70
85,0.0298214,3.046,0,119.72
86,0.0289078,3.135,0,119.56
87,0.0341082,3.131,0,119.50
88,0.0245132,1.873,0,119.53
89,0.0262814,3.905,0,119.71
90,0.0388927,5.514,0,119.70
91,0.0343637,3.253,0,119.57
92,0.0368252,6.656,0,119.52
93,0.030055,3.906,0,119.55
94,0.0358734,3.831,0,119.60
95,0.0286837,3.798,0,119.61
96,0.0428848,4.932,0,119.73
97,0.0285978,2.520,0,119.79
98,0.0183849,2.113,0,119.69
99,0.0379953,3.256,0,119.78
100,0.0479565,6.688,0,119.84
101,0.0310879,3.249,0,120.03
102,0.0536079,6.044,0,120.32
103,0.0307255,2.730,0,120.32
104,0.0457296,5.776,0,120.55
105,0.0309048,3.590,0,120.51
106,0.0217562,1.516,0,120.49
107,0.029294,2.560,0,120.46
108,0.0290556,2.239,0,120.44
109,0.0308161,4.232,0,120.40
110,0.0224705,1.756,0,120.40
111,0.0275316,2.014,0,120.38
112,0.0266438,1.937,0,120.38
113,0.008255,1.535,0,120.31
114,0.00213051,.417,0,120.33
115,0.000976562,.298,0,120.30
116,0.00922871,2.288,0,120.24
117,0.0142946,2.954,0,120.32
118,0.00914192,1.816,0,120.50
119,0.00310707,.767,0,120.51
120,0,.415,0,120.52
121,0.0121622,3.282,0,120.55
122,0.00621223,1.252,0,120.59
123,0.0163441,2.560,0,120.18
124,0.0218534,1.400,0,120.16
125,0.0704994,9.502,0,120.19
126,0.0562134,10.205,0,120.15
127,0.0554237,4.494,0,120.28
128,0.048851,3.281,0,120.19
129,0.0470715,3.394,0,120.19
130,0.0508928,4.685,0,120.21
131,0.0544538,4.830,0,120.22
132,0.0466824,4.345,0,120.21
133,0.0674458,7.236,0,120.07
134,0.0790176,9.676,0,120.01
135,0.0676498,10.131,0,120.00
136,0.0564871,5.744,0,120.02
137,0.0553246,4.203,0,119.96
138,0.0514708,6.570,0,119.91
139,0.0501642,6.135,0,119.92
140,0.0621672,7.620,0,120.12
141,0.0636511,9.212,0,120.23
