Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,.295,0,25.85
2,0,.298,0,25.85
3,0.0833893,.805,0,25.89
4,0.058054,14.991,0,26.82
5,0.0461321,58.373,0,29.64
6,0.0665112,76.871,0,32.12
7,0.0198641,75.789,0,34.79
8,0.0169649,77.675,0,38.29
9,0.0320015,87.728,0,42.29
10,0.0239143,92.704,0,46.14
11,0.0263577,94.623,0,51.06
12,0.031579,94.469,0,55.46
13,0.0393095,96.428,0,59.89
14,0.0251198,95.842,0,63.21
15,0.0602703,96.165,0,67.75
16,0.045927,97.192,0,72.13
17,0.0653791,98.279,0,76.48
18,0.0519667,97.857,0,80.87
19,0.0651026,95.403,0,85.83
20,0.0590496,89.453,0,90.17
21,0.0648746,86.037,0,94.11
22,0.049737,95.852,0,99.11
23,0.0888662,90.136,0,103.38
24,0.0592842,86.719,0,106.94
25,0.0720406,87.909,0,110.60
26,0.103883,68.138,0,113.40
27,0.0432129,64.368,0,116.04
28,0.0605211,66.581,0,118.38
29,0.0641193,63.627,0,120.02
30,0.0603561,45.466,0,121.21
31,0.0733738,44.022,0,122.56
32,0.0757427,32.574,0,123.09
33,0.0649691,26.816,0,123.06
34,0.0412102,20.641,0,124.37
35,0.0389071,18.154,0,124.68
36,0.0336876,15.668,0,124.59
37,0.038269,17.222,0,124.49
38,0.0819063,17.902,0,124.53
39,0.0436649,8.333,0,124.57
40,0.0446959,9.176,0,124.98
41,0.0379725,14.071,0,124.95
42,0.0395479,14.339,0,125.09
43,0.0299129,8.519,0,125.10
44,0.0256987,5.411,0,124.95
45,0.0276775,5.457,0,124.60
46,0.0923204,4.788,0,123.68
47,0.0338745,5.138,0,123.68
48,0.0353527,6.504,0,123.52
49,0.0394793,5.530,0,122.93
50,0.0253382,4.688,0,122.86
51,0.045723,6.317,0,122.62
52,0.0236387,2.784,0,122.65
53,0.0456991,2.810,0,122.67
54,0.0533257,5.567,0,122.61
55,0.0287533,2.270,0,122.61
56,0.0202999,2.517,0,122.60
57,0.0255651,2.491,0,122.59
58,0.030201,2.094,0,122.64
59,0.0300341,3.108,0,122.64
60,0.0273676,2.054,0,122.64
61,0.0299597,2.867,0,122.59
62,0.026763,1.911,0,122.57
63,0.0295362,3.459,0,122.63
64,0.0329342,3.390,0,122.68
65,0.0308046,2.032,0,122.66
66,0.0264502,4.944,0,122.74
67,0.0358467,4.916,0,122.81
68,0.0267639,2.867,0,122.79
69,0.0303383,2.673,0,122.79
70,0.0400295,2.908,0,122.76
71,0.0286055,5.174,0,122.89
72,0.0345135,3.155,0,122.94
73,0.0340719,2.702,0,122.93
74,0.0298138,3.994,0,122.89
75,0.034708,4.654,0,123.08
76,0.039547,2.936,0,123.13
77,0.0288219,4.477,0,123.22
78,0.0258427,3.533,0,123.21
79,0.0353737,2.741,0,123.22
80,0.0299006,4.448,0,123.23
81,0.0320902,3.303,0,123.23
82,0.0257006,2.245,0,123.25
83,0.0268354,2.161,0,123.25
84,0.0254126,4.380,0,123.25
85,0.0332193,4.210,0,123.32
86,0.0353441,3.473,0,123.33
87,0.0236425,1.960,0,123.33
88,0.0319481,3.035,0,123.32
89,0.0336466,2.305,0,123.32
90,0.0308056,3.779,0,123.32
91,0.028966,3.814,0,123.30
92,0.0336466,4.145,0,123.39
93,0.0396175,7.204,0,123.44
94,0.0308819,3.441,0,123.47
95,0.0335522,3.017,0,123.46
96,0.0346146,2.803,0,123.49
97,0.0385084,7.761,0,123.66
98,0.0278788,2.964,0,123.68
99,0.0195246,2.111,0,123.67
100,0.0337791,5.399,0,123.78
101,0.0368423,10.147,0,123.66
102,0.0519075,6.024,0,123.71
103,0.0299616,9.492,0,123.82
104,0.0392609,7.136,0,123.82
105,0.0434465,12.652,0,124.00
106,0.028594,5.468,0,124.21
107,0.0225754,5.699,0,124.34
108,0.0419331,4.308,0,124.28
109,0.0348539,3.992,0,124.28
110,0.0331573,4.740,0,124.11
111,0.0251598,2.177,0,124.12
112,0.0253506,2.078,0,124.13
113,0.0228453,1.682,0,124.13
114,0.00554276,.942,0,124.13
115,0,.297,0,124.14
116,0.00602531,.865,0,124.15
117,0.0101471,2.178,0,124.14
118,0.00937176,2.884,0,124.10
119,0.00411415,1.135,0,124.11
120,0.00106525,.981,0,124.11
121,0.0019865,.358,0,124.10
122,0.00928402,2.950,0,124.17
123,0.00915432,1.793,0,124.09
124,0.0104351,1.158,0,124.10
125,0.03407,2.541,0,124.09
126,0.0805025,9.912,0,124.11
127,0.0585251,7.851,0,124.10
128,0.0647078,11.243,0,124.09
129,0.0505524,4.405,0,124.05
130,0.04494,4.614,0,124.04
131,0.0545254,5.472,0,124.13
132,0.0591459,5.575,0,124.13
133,0.0584249,5.270,0,124.25
134,0.0690079,7.662,0,124.25
135,0.0708504,14.782,0,124.22
136,0.0790224,10.905,0,124.30
137,0.048934,6.203,0,124.30
138,0.0692196,8.008,0,124.34
139,0.0649462,7.476,0,124.31
140,0.0459938,4.880,0,124.30
141,0.0597057,9.007,0,124.27
142,0.0531921,8.535,0,124.25
143,0.0577421,9.476,0,124.20
144,0.0624886,10.284,0,124.27
145,0.0555143,11.847,0,124.16
146,0.0589352,8.535,0,124.39
