Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,.323,0,21.26
2,0,.265,0,21.27
3,0.030776,.476,0,21.26
4,0.0877733,17.408,0,22.38
5,0.0470819,59.431,0,25.13
6,0.0644655,78.319,0,27.71
7,0.0240335,82.751,0,31.12
8,0.017952,91.526,0,35.10
9,0.0319738,91.606,0,39.03
10,0.0249577,94.801,0,43.10
11,0.0223265,95.590,0,48.66
12,0.0346184,93.690,0,53.05
13,0.0524769,90.860,0,56.96
14,0.0262375,94.308,0,61.76
15,0.0517073,95.896,0,66.83
16,0.0650034,90.690,0,70.74
17,0.0503702,92.934,0,75.51
18,0.0384274,96.850,0,79.25
19,0.0551958,94.770,0,84.69
20,0.0520039,95.827,0,89.10
21,0.0647068,97.522,0,92.18
22,0.0736027,96.350,0,95.22
23,0.103437,90.826,0,98.65
24,0.0836773,61.938,0,100.86
25,0.0603466,74.004,0,103.56
26,0.0854807,57.076,0,105.39
27,0.0743351,57.142,0,107.11
28,0.0391855,55.440,0,107.95
29,0.0445652,47.796,0,108.63
30,0.085248,32.120,0,109.26
31,0.0624599,23.548,0,109.52
32,0.0407972,23.624,0,109.91
33,0.0352001,21.322,0,110.45
34,0.0423717,19.840,0,110.35
35,0.0293875,11.432,0,108.98
36,0.091917,4.295,0,108.83
37,0.0350523,4.101,0,108.46
38,0.0371151,4.626,0,108.45
39,0.0382576,3.624,0,108.42
40,0.0321531,5.418,0,108.35
41,0.0359535,2.990,0,108.43
42,0.0350971,12.450,0,108.12
43,0.0348358,13.917,0,108.18
44,0.0298109,10.467,0,108.23
45,0.0408659,5.148,0,108.03
46,0.0257587,2.347,0,108.02
47,0.0294304,3.776,0,107.91
48,0.0393915,5.334,0,107.93
49,0.03582,5.055,0,107.77
50,0.0438824,4.997,0,107.75
51,0.0274515,5.473,0,107.72
52,0.0465469,6.594,0,107.73
53,0.0267506,2.322,0,107.76
54,0.0318708,3.093,0,107.79
55,0.029501,9.024,0,107.79
56,0.0405922,4.425,0,107.66
57,0.0264626,2.539,0,107.69
58,0.0310879,2.818,0,107.72
59,0.0275984,1.880,0,107.73
60,0.0325041,6.214,0,107.74
61,0.0256834,2.269,0,107.77
62,0.0278168,2.997,0,107.76
63,0.0296583,2.174,0,107.74
64,0.0276709,3.758,0,107.72
65,0.0275927,5.162,0,107.80
66,0.0320024,2.979,0,107.79
67,0.0279646,3.524,0,107.79
68,0.0316391,3.773,0,107.85
69,0.0331306,3.954,0,107.89
70,0.0267544,1.950,0,107.88
71,0.0325527,4.166,0,107.82
72,0.0388908,7.894,0,107.92
73,0.0350714,2.394,0,107.91
74,0.0308619,3.442,0,107.93
75,0.0382462,3.624,0,107.90
76,0.0365667,4.646,0,108.03
77,0.0244713,5.129,0,108.03
78,0.0288086,7.573,0,108.22
79,0.0362673,6.393,0,108.29
80,0.0302172,2.558,0,108.27
81,0.0292349,3.358,0,108.24
82,0.0267515,2.285,0,108.31
83,0.0313444,2.496,0,108.31
84,0.024621,1.854,0,108.30
85,0.0217791,6.229,0,108.31
86,0.037138,3.108,0,108.26
87,0.0308666,3.026,0,108.25
88,0.023982,1.966,0,108.23
89,0.0333624,3.600,0,108.23
90,0.0285835,1.759,0,108.25
91,0.0318556,4.741,0,108.11
92,0.0352736,3.807,0,108.17
93,0.0325594,4.447,0,108.15
94,0.0363359,7.625,0,108.35
95,0.0382414,4.410,0,108.46
96,0.0338392,2.497,0,108.47
97,0.0336199,1.943,0,108.45
98,0.0425701,9.466,0,108.45
99,0.0320082,3.308,0,108.47
100,0.019515,1.835,0,108.47
101,0.0319529,5.409,0,108.44
102,0.0361223,10.491,0,108.49
103,0.049057,7.259,0,108.40
104,0.0352755,6.248,0,108.43
105,0.040452,2.947,0,108.49
106,0.0302219,8.918,0,108.49
107,0.0307369,5.811,0,108.47
108,0.033143,2.473,0,108.44
109,0.0274048,2.707,0,108.49
110,0.0305748,3.662,0,108.52
111,0.0288839,6.438,0,108.59
112,0.0308228,1.623,0,108.55
113,0.0257616,3.500,0,108.64
114,0.0229883,1.877,0,108.64
115,0.00943851,1.042,0,108.65
116,0,.356,0,108.65
117,0.00198364,.442,0,108.66
118,0.0112762,2.501,0,108.56
119,0.0104342,2.908,0,108.58
120,0.00723267,1.285,0,108.59
121,0.00213051,.918,0,108.57
122,0.000991821,.268,0,108.56
123,0.00815392,3.062,0,108.59
124,0.0103588,2.846,0,108.66
125,0.0145483,1.939,0,108.66
126,0.0395851,2.931,0,108.62
127,0.0559673,7.010,0,108.72
128,0.0567226,13.323,0,108.98
129,0.0512047,10.385,0,109.12
130,0.0510998,11.062,0,109.23
131,0.0578413,10.105,0,109.60
132,0.0620823,7.627,0,109.59
133,0.0538158,6.008,0,109.55
134,0.0551262,4.275,0,109.49
135,0.0711069,7.354,0,109.55
136,0.0590219,10.856,0,109.43
137,0.0843258,15.467,0,109.70
138,0.0544233,4.778,0,109.68
139,0.0582314,6.078,0,109.67
140,0.0481911,5.480,0,109.66
141,0.0533247,4.822,0,109.58
142,0.0436249,7.564,0,109.54
143,0.0696325,12.575,0,109.63
144,0.0604496,5.773,0,109.59
145,0.0489388,14.748,0,109.61
146,0.081727,10.718,0,109.63
147,0.0567741,5.985,0,109.62
148,0.0510778,4.631,0,109.62
149,0.0637083,15.842,0,109.83
150,0.0526552,15.653,0,110.09
151,0.055563,11.958,0,110.10
152,0.051919,13.621,0,110.23
153,0.0765028,21.037,0,110.55
154,0.0449829,14.671,0,110.50
155,0.0845232,12.223,0,110.47
156,0.049098,16.182,0,110.49
157,0.0799837,12.665,0,110.64
158,0.069705,6.991,0,110.49
159,0.052001,4.191,0,110.49
160,0.0585384,5.664,0,110.59
161,0.0576477,5.049,0,110.59
162,0.0530119,5.167,0,110.65
163,0.0428505,3.192,0,110.65
164,0.0619822,7.870,0,110.65
165,0.0567036,15.838,0,110.50
