container_name,exec_time(ms),queue_time(ms)
modest_pike,9008.196115493774,0
magical_jemison,11064.380168914795,0
elastic_chebyshev,10951.47180557251,0
flamboyant_poincare,11345.48020362854,0
elegant_curie,13377.154111862183,0
reverent_dhawan,14315.610408782959,14
dazzling_bell,10978.547811508179,0
kind_chaum,13878.794193267822,0
sharp_kepler,12913.792848587036,0
elastic_elbakyan,15929.537534713745,0
eloquent_fermi,15967.863321304321,0
lucid_elbakyan,15673.09546470642,0
wonderful_raman,16176.538467407227,0
elegant_hamilton,16653.099536895752,0
sleepy_turing,16611.971855163574,0
fervent_robinson,15129.186391830444,0
objective_carson,16849.434852600098,0
magical_wilson,17179.818630218506,0
suspicious_bardeen,17425.722360610962,0
amazing_fermat,17145.72501182556,0
elegant_turing,17394.63758468628,0
cranky_elbakyan,17275.554180145264,0
suspicious_fermi,16150.812864303589,0
priceless_mestorf,16256.787300109863,0
priceless_wilson,17422.3051071167,0
confident_goldberg,17426.706075668335,8
vigilant_kapitsa,16065.61803817749,0
hungry_grothendieck,17573.507070541382,0
pensive_sutherland,15968.183040618896,0
determined_tu,17635.390043258667,0
pedantic_borg,16883.873462677002,0
magical_nash,17298.642873764038,0
unruffled_kowalevski,15785.586595535278,0
epic_lamarr,18116.95694923401,0
funny_booth,17711.776733398438,0
laughing_montalcini,15253.429174423218,0
pedantic_mendeleev,17113.67917060852,0
romantic_khayyam,15658.089399337769,0
heuristic_herschel,16483.813047409058,0
amazing_payne,17242.575883865356,0
sharp_dhawan,15263.231039047241,0
heuristic_bose,14973.668336868286,0
hardcore_sinoussi,18480.262994766235,0
zen_gould,17644.69623565674,0
charming_driscoll,17494.625568389893,0
sharp_euler,16999.377489089966,17
quizzical_mcnulty,17324.26881790161,0
fervent_vaughan,13976.699113845825,0
priceless_golick,18548.50721359253,0
upbeat_williams,18786.454916000366,0
nervous_lehmann,14084.38515663147,0
youthful_engelbart,17577.726125717163,0
happy_jepsen,18710.67190170288,0
epic_shockley,19239.295721054077,0
adoring_morse,15917.929410934448,0
flamboyant_meninsky,19303.622007369995,0
competent_almeida,18228.30057144165,0
practical_fermi,19243.81971359253,0
hardcore_elbakyan,17778.082847595215,0
objective_merkle,17684.815645217896,0
naughty_snyder,18088.29665184021,0
laughing_ptolemy,18460.870027542114,0
adoring_haslett,15669.659852981567,0
magical_pare,15919.425010681152,0
stupefied_faraday,18488.945722579956,4
festive_yonath,19093.62745285034,0
xenodochial_taussig,19071.39825820923,0
eloquent_solomon,18012.364387512207,0
romantic_solomon,18126.256942749023,0
dazzling_ellis,15597.57137298584,0
musing_tesla,18683.692455291748,0
heuristic_heisenberg,19032.085180282593,78
pensive_hoover,16192.26360321045,0
clever_shannon,18367.887258529663,0
nervous_heisenberg,17925.365447998047,3
thirsty_euclid,19187.182426452637,0
goofy_volhard,17959.579467773438,0
nervous_meninsky,19471.99559211731,0
laughing_meninsky,20072.04818725586,14
zealous_khorana,19346.018314361572,0
cool_swirles,18029.31022644043,0
pensive_chebyshev,19381.224870681763,0
affectionate_snyder,19304.447412490845,0
condescending_jennings,17675.392389297485,0
frosty_noether,19002.246618270874,0
pedantic_fermat,19157.368659973145,0
pedantic_chatelet,18892.158269882202,0
beautiful_raman,19715.33751487732,0
compassionate_hodgkin,19643.91827583313,0
wonderful_elion,20065.925121307373,0
youthful_ramanujan,19684.70025062561,0
magical_wozniak,19225.725650787354,0
cool_hoover,19084.63478088379,0
confident_kalam,19029.057025909424,4
epic_wu,18977.56814956665,0
bold_sutherland,19196.59423828125,0
adoring_keller,20226.078271865845,8
laughing_snyder,17345.10588645935,0
