container_name,exec_time(ms),queue_time(ms)
pedantic_ritchie,2530.339002609253,0
charming_lalande,2642.5936222076416,0
kind_beaver,2815.6800270080566,15
nice_villani,3078.632593154907,0
wonderful_lamarr,2832.801103591919,0
flamboyant_einstein,3064.8579597473145,0
gifted_grothendieck,3148.862361907959,0
priceless_fermi,3098.266363143921,0
blissful_feistel,3259.963274002075,0
gifted_moser,2927.704095840454,0
hardcore_shamir,2939.648389816284,0
stoic_keldysh,2884.7384452819824,2
reverent_stonebraker,3228.466510772705,0
flamboyant_newton,3261.828899383545,0
stupefied_ishizaka,3179.288864135742,0
youthful_solomon,3269.345760345459,0
competent_bose,3201.4482021331787,0
agitated_mahavira,3246.03271484375,0
loving_elgamal,3462.72349357605,0
brave_lederberg,3102.811813354492,0
lucid_rubin,3397.0422744750977,0
determined_kowalevski,3441.1351680755615,0
hungry_brown,3549.5128631591797,0
frosty_mcclintock,3374.3488788604736,0
bold_darwin,3615.1018142700195,1
optimistic_williamson,3620.1224327087402,0
reverent_cerf,3860.3782653808594,0
trusting_keller,3178.363561630249,0
sweet_albattani,3564.661979675293,9
reverent_brown,3899.758815765381,8
exciting_haslett,3433.7401390075684,0
amazing_hertz,3859.015464782715,9
infallible_hugle,3480.522871017456,0
distracted_ramanujan,3513.1747722625732,0
heuristic_shockley,3570.2240467071533,0
admiring_borg,3452.1071910858154,0
jovial_rhodes,3824.1097927093506,0
elegant_banach,3697.578191757202,3
dazzling_bose,3574.946880340576,0
wonderful_cori,3685.3439807891846,0
