Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,83.365,0,88.19
2,0,99.972,0,101.91
3,0,100.000,0,115.78
4,0,100.000,0,129.57
5,0,100.000,0,138.95
6,0,99.971,0,139.43
7,0,100.000,0,139.86
8,0,100.000,0,140.26
9,0,99.971,0,140.60
10,0,100.000,0,141.05
11,0,100.000,0,141.26
12,0,100.000,0,141.62
13,0,100.000,0,141.90
14,0,100.000,0,141.60
15,0,100.000,0,141.69
16,0,100.000,0,141.82
17,0,100.000,0,141.80
18,0,100.000,0,141.69
19,0,100.000,0,141.18
20,0,100.000,0,140.54
21,0,100.000,0,139.27
22,0,100.000,0,135.56
23,0,100.000,0,133.31
24,0,100.000,0,131.77
25,0,100.000,0,130.48
26,0,100.000,0,128.95
27,0,100.000,0,127.36
28,0,99.971,0,124.07
29,0,100.000,0,120.88
30,0,100.000,0,115.99
31,0,100.000,0,110.26
32,0,100.000,0,100.92
33,0,99.378,0,85.24
