Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB)
1,0,94.183,0,43.44
2,0,100.000,0,54.77
3,0,100.000,0,54.85
4,0,100.000,0,54.87
5,0,100.000,0,54.87
6,0,100.000,0,54.85
7,0,100.000,0,54.86
8,0,100.000,0,54.84
9,0,100.000,0,54.85
10,0,100.000,0,54.87
11,0,100.000,0,54.85
12,0,100.000,0,54.82
13,0,100.000,0,54.79
14,0,100.000,0,54.81
15,0,100.000,0,54.77
16,0,100.000,0,54.70
17,0,100.000,0,54.63
18,0,100.000,0,54.63
19,0,100.000,0,54.62
20,0,100.000,0,54.54
21,0,100.000,0,54.39
22,0,100.000,0,54.41
23,0,100.000,0,54.15
24,0,100.000,0,53.85
25,0,100.000,0,53.01
26,0,100.000,0,50.60
27,0,100.000,0,45.72
28,0,100.000,0,29.60
